[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2020010906],2020010906,224
[DMH_INCIDENT].[FechaHoraID].&[2020010907],2020010907,237
[DMH_INCIDENT].[FechaHoraID].&[2020010908],2020010908,292
[DMH_INCIDENT].[FechaHoraID].&[2020010909],2020010909,448
[DMH_INCIDENT].[FechaHoraID].&[2020010910],2020010910,431
[DMH_INCIDENT].[FechaHoraID].&[2020010911],2020010911,465
[DMH_INCIDENT].[FechaHoraID].&[2020010912],2020010912,460
[DMH_INCIDENT].[FechaHoraID].&[2020010913],2020010913,420
[DMH_INCIDENT].[FechaHoraID].&[2020010914],2020010914,510
[DMH_INCIDENT].[FechaHoraID].&[2020010915],2020010915,472
[DMH_INCIDENT].[FechaHoraID].&[2020010916],2020010916,441
[DMH_INCIDENT].[FechaHoraID].&[2020010917],2020010917,441
[DMH_INCIDENT].[FechaHoraID].&[2020010918],2020010918,438
[DMH_INCIDENT].[FechaHoraID].&[2020010919],2020010919,536
[DMH_INCIDENT].[FechaHoraID].&[2020010920],2020010920,564
[DMH_INCIDENT].[FechaHoraID].&[2020010921],2020010921,546
[DMH_INCIDENT].[FechaHoraID].&[2020010922],2020010922,605
[DMH_INCIDENT].[FechaHoraID].&[2020010923],2020010923,457
[DMH_INCIDENT].[FechaHoraID].&[2020011000],2020011000,380
[DMH_INCIDENT].[FechaHoraID].&[2020011001],2020011001,281
[DMH_INCIDENT].[FechaHoraID].&[2020011002],2020011002,227
[DMH_INCIDENT].[FechaHoraID].&[2020011003],2020011003,194
[DMH_INCIDENT].[FechaHoraID].&[2020011004],2020011004,144
[DMH_INCIDENT].[FechaHoraID].&[2020011005],2020011005,126
[DMH_INCIDENT].[FechaHoraID].&[2020011006],2020011006,242
[DMH_INCIDENT].[FechaHoraID].&[2020011007],2020011007,264
[DMH_INCIDENT].[FechaHoraID].&[2020011008],2020011008,338
[DMH_INCIDENT].[FechaHoraID].&[2020011009],2020011009,431
[DMH_INCIDENT].[FechaHoraID].&[2020011010],2020011010,469
[DMH_INCIDENT].[FechaHoraID].&[2020011011],2020011011,513
[DMH_INCIDENT].[FechaHoraID].&[2020011012],2020011012,516
[DMH_INCIDENT].[FechaHoraID].&[2020011013],2020011013,473
[DMH_INCIDENT].[FechaHoraID].&[2020011014],2020011014,533
[DMH_INCIDENT].[FechaHoraID].&[2020011015],2020011015,509
[DMH_INCIDENT].[FechaHoraID].&[2020011016],2020011016,520
[DMH_INCIDENT].[FechaHoraID].&[2020011017],2020011017,553
[DMH_INCIDENT].[FechaHoraID].&[2020011018],2020011018,553
[DMH_INCIDENT].[FechaHoraID].&[2020011019],2020011019,584
[DMH_INCIDENT].[FechaHoraID].&[2020011020],2020011020,657
[DMH_INCIDENT].[FechaHoraID].&[2020011021],2020011021,676
[DMH_INCIDENT].[FechaHoraID].&[2020011022],2020011022,728
[DMH_INCIDENT].[FechaHoraID].&[2020011023],2020011023,735
[DMH_INCIDENT].[FechaHoraID].&[2020011100],2020011100,651
[DMH_INCIDENT].[FechaHoraID].&[2020011101],2020011101,538
[DMH_INCIDENT].[FechaHoraID].&[2020011102],2020011102,510
[DMH_INCIDENT].[FechaHoraID].&[2020011103],2020011103,440
[DMH_INCIDENT].[FechaHoraID].&[2020011104],2020011104,314
[DMH_INCIDENT].[FechaHoraID].&[2020011105],2020011105,226
[DMH_INCIDENT].[FechaHoraID].&[2020011106],2020011106,260
[DMH_INCIDENT].[FechaHoraID].&[2020011107],2020011107,253
[DMH_INCIDENT].[FechaHoraID].&[2020011108],2020011108,319
[DMH_INCIDENT].[FechaHoraID].&[2020011109],2020011109,372
[DMH_INCIDENT].[FechaHoraID].&[2020011110],2020011110,461
[DMH_INCIDENT].[FechaHoraID].&[2020011111],2020011111,478
