[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[IncidentNewTypeId].&[20897],20897,31429
[DMH_INCIDENT].[IncidentNewTypeId].&[20898],20898,351
[DMH_INCIDENT].[IncidentNewTypeId].&[20899],20899,11
[DMH_INCIDENT].[IncidentNewTypeId].&[20900],20900,212
[DMH_INCIDENT].[IncidentNewTypeId].&[20901],20901,486
[DMH_INCIDENT].[IncidentNewTypeId].&[20902],20902,33
[DMH_INCIDENT].[IncidentNewTypeId].&[20903],20903,9
[DMH_INCIDENT].[IncidentNewTypeId].&[20904],20904,2218
[DMH_INCIDENT].[IncidentNewTypeId].&[20905],20905,114
[DMH_INCIDENT].[IncidentNewTypeId].&[20906],20906,84
[DMH_INCIDENT].[IncidentNewTypeId].&[20907],20907,149
[DMH_INCIDENT].[IncidentNewTypeId].&[20908],20908,4
[DMH_INCIDENT].[IncidentNewTypeId].&[20909],20909,4
[DMH_INCIDENT].[IncidentNewTypeId].&[20911],20911,2165
[DMH_INCIDENT].[IncidentNewTypeId].&[20912],20912,72
[DMH_INCIDENT].[IncidentNewTypeId].&[20913],20913,14
[DMH_INCIDENT].[IncidentNewTypeId].&[20914],20914,455
[DMH_INCIDENT].[IncidentNewTypeId].&[20918],20918,2
[DMH_INCIDENT].[IncidentNewTypeId].&[20919],20919,38056
[DMH_INCIDENT].[IncidentNewTypeId].&[20923],20923,12
[DMH_INCIDENT].[IncidentNewTypeId].&[20925],20925,537
[DMH_INCIDENT].[IncidentNewTypeId].&[20927],20927,119
[DMH_INCIDENT].[IncidentNewTypeId].&[20928],20928,26269
[DMH_INCIDENT].[IncidentNewTypeId].&[20929],20929,122
[DMH_INCIDENT].[IncidentNewTypeId].&[20930],20930,463
[DMH_INCIDENT].[IncidentNewTypeId].&[20931],20931,40
[DMH_INCIDENT].[IncidentNewTypeId].&[20932],20932,38
[DMH_INCIDENT].[IncidentNewTypeId].&[20933],20933,28
[DMH_INCIDENT].[IncidentNewTypeId].&[20934],20934,89
[DMH_INCIDENT].[IncidentNewTypeId].&[20935],20935,704
[DMH_INCIDENT].[IncidentNewTypeId].&[20936],20936,7
[DMH_INCIDENT].[IncidentNewTypeId].&[20937],20937,15
[DMH_INCIDENT].[IncidentNewTypeId].&[20938],20938,8813
[DMH_INCIDENT].[IncidentNewTypeId].&[20939],20939,1787
[DMH_INCIDENT].[IncidentNewTypeId].&[20940],20940,559
[DMH_INCIDENT].[IncidentNewTypeId].&[20941],20941,539
[DMH_INCIDENT].[IncidentNewTypeId].&[20942],20942,4
[DMH_INCIDENT].[IncidentNewTypeId].&[20943],20943,17
[DMH_INCIDENT].[IncidentNewTypeId].&[20944],20944,2
[DMH_INCIDENT].[IncidentNewTypeId].&[20945],20945,19
[DMH_INCIDENT].[IncidentNewTypeId].&[20946],20946,2
[DMH_INCIDENT].[IncidentNewTypeId].&[20947],20947,260
[DMH_INCIDENT].[IncidentNewTypeId].&[20948],20948,772
[DMH_INCIDENT].[IncidentNewTypeId].&[20949],20949,283
[DMH_INCIDENT].[IncidentNewTypeId].&[20950],20950,87
[DMH_INCIDENT].[IncidentNewTypeId].&[20951],20951,1094
