[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[CUSUBAMBA],CUSUBAMBA,1836
[DIVPOL].[DPA_DESPAR].&[CUTUGLAHUA],CUTUGLAHUA,30566
[DIVPOL].[DPA_DESPAR].&[CUYABENO],CUYABENO,396
[DIVPOL].[DPA_DESPAR].&[CUYUJA],CUYUJA,725
[DIVPOL].[DPA_DESPAR].&[DANIEL CORDOVA TORAL (EL ORIENTE)],DANIEL CORDOVA TORAL (EL ORIENTE),868
[DIVPOL].[DPA_DESPAR].&[DAULE],DAULE,157370
[DIVPOL].[DPA_DESPAR].&[DAYUMA],DAYUMA,3803
[DIVPOL].[DPA_DESPAR].&[DELEG],DELEG,5132
[DIVPOL].[DPA_DESPAR].&[DIEZ DE AGOSTO],DIEZ DE AGOSTO,1410
[DIVPOL].[DPA_DESPAR].&[DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)],DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE),2712
[DIVPOL].[DPA_DESPAR].&[DUCUR],DUCUR,2265
[DIVPOL].[DPA_DESPAR].&[DUG DUG],DUG DUG,697
[DIVPOL].[DPA_DESPAR].&[DURENO],DURENO,2555
[DIVPOL].[DPA_DESPAR].&[ECHEANDIA],ECHEANDIA,25600
[DIVPOL].[DPA_DESPAR].&[EL AIRO],EL AIRO,237
[DIVPOL].[DPA_DESPAR].&[EL ALTAR],EL ALTAR,582
[DIVPOL].[DPA_DESPAR].&[EL ANEGADO (CAB. EN ELOY ALFARO)],EL ANEGADO (CAB. EN ELOY ALFARO),1890
[DIVPOL].[DPA_DESPAR].&[EL ANGEL],EL ANGEL,9166
[DIVPOL].[DPA_DESPAR].&[EL ARENAL],EL ARENAL,250
[DIVPOL].[DPA_DESPAR].&[EL CABO],EL CABO,3377
[DIVPOL].[DPA_DESPAR].&[EL CARMELO (EL PUN)],EL CARMELO (EL PUN),3224
[DIVPOL].[DPA_DESPAR].&[EL CARMEN],EL CARMEN,54017
[DIVPOL].[DPA_DESPAR].&[EL CARMEN DE PIJILI],EL CARMEN DE PIJILI,460
[DIVPOL].[DPA_DESPAR].&[EL CHACO],EL CHACO,4427
[DIVPOL].[DPA_DESPAR].&[EL CHAUPI],EL CHAUPI,1794
[DIVPOL].[DPA_DESPAR].&[EL CHICAL],EL CHICAL,1194
[DIVPOL].[DPA_DESPAR].&[EL CHORRO],EL CHORRO,53
[DIVPOL].[DPA_DESPAR].&[EL CISNE],EL CISNE,2439
[DIVPOL].[DPA_DESPAR].&[EL CORAZON],EL CORAZON,3815
[DIVPOL].[DPA_DESPAR].&[EL DORADO],EL DORADO,2189
[DIVPOL].[DPA_DESPAR].&[EL DORADO DE CASCALES],EL DORADO DE CASCALES,10538
[DIVPOL].[DPA_DESPAR].&[EL EDEN],EL EDEN,33
[DIVPOL].[DPA_DESPAR].&[EL ENO],EL ENO,5701
[DIVPOL].[DPA_DESPAR].&[EL ESFUERZO],EL ESFUERZO,2647
[DIVPOL].[DPA_DESPAR].&[EL GOALTAL],EL GOALTAL,238
[DIVPOL].[DPA_DESPAR].&[EL GUABO],EL GUABO,41798
[DIVPOL].[DPA_DESPAR].&[EL GUISME],EL GUISME,1200
[DIVPOL].[DPA_DESPAR].&[EL IDEAL],EL IDEAL,861
[DIVPOL].[DPA_DESPAR].&[EL INGENIO],EL INGENIO,710
[DIVPOL].[DPA_DESPAR].&[EL LIMO (MARIANA DE JESUS)],EL LIMO (MARIANA DE JESUS),412
[DIVPOL].[DPA_DESPAR].&[EL LUCERO],EL LUCERO,889
[DIVPOL].[DPA_DESPAR].&[EL PAN],EL PAN,900
[DIVPOL].[DPA_DESPAR].&[EL PANGUI],EL PANGUI,12393
[DIVPOL].[DPA_DESPAR].&[EL PARAISO],EL PARAISO,252
[DIVPOL].[DPA_DESPAR].&[EL PARAISO DE CELEN],EL PARAISO DE CELEN,478
[DIVPOL].[DPA_DESPAR].&[EL PIEDRERO],EL PIEDRERO,2751
[DIVPOL].[DPA_DESPAR].&[EL PLAYON DE SAN FRANCISCO],EL PLAYON DE SAN FRANCISCO,64
[DIVPOL].[DPA_DESPAR].&[EL PORVENIR DEL CARMEN],EL PORVENIR DEL CARMEN,253
[DIVPOL].[DPA_DESPAR].&[EL PROGRESO],EL PROGRESO,1807
[DIVPOL].[DPA_DESPAR].&[EL PROGRESO (CAB. EN ZHOTA)],EL PROGRESO (CAB. EN ZHOTA),598
[DIVPOL].[DPA_DESPAR].&[EL QUINCHE],EL QUINCHE,26669
[DIVPOL].[DPA_DESPAR].&[EL RETIRO],EL RETIRO,7949
[DIVPOL].[DPA_DESPAR].&[EL REVENTADOR],EL REVENTADOR,1098
[DIVPOL].[DPA_DESPAR].&[EL ROSARIO],EL ROSARIO,2178
[DIVPOL].[DPA_DESPAR].&[EL ROSARIO (RUMICHACA)],EL ROSARIO (RUMICHACA),1163
[DIVPOL].[DPA_DESPAR].&[EL SALITRE (LAS RAMAS)],EL SALITRE (LAS RAMAS),18749
[DIVPOL].[DPA_DESPAR].&[EL TABLON],EL TABLON,244
[DIVPOL].[DPA_DESPAR].&[EL TAMBO],EL TAMBO,10996
[DIVPOL].[DPA_DESPAR].&[EL TRIUNFO],EL TRIUNFO,56716
[DIVPOL].[DPA_DESPAR].&[ELOY ALFARO],ELOY ALFARO,1054
[DIVPOL].[DPA_DESPAR].&[ELOY ALFARO (DURAN)],ELOY ALFARO (DURAN),377282
[DIVPOL].[DPA_DESPAR].&[EMILIO MARIA TERAN (RUMIPAMBA)],EMILIO MARIA TERAN (RUMIPAMBA),980
[DIVPOL].[DPA_DESPAR].&[ENOKANQUI],ENOKANQUI,1006
[DIVPOL].[DPA_DESPAR].&[ESMERALDAS],ESMERALDAS,289115
[DIVPOL].[DPA_DESPAR].&[EUGENIO ESPEJO (CALPAQUI)],EUGENIO ESPEJO (CALPAQUI),4084
[DIVPOL].[DPA_DESPAR].&[FACUNDO VELA],FACUNDO VELA,1525
