[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[PORTOVIEJO],PORTOVIEJO,310597
[DIVPOL].[DPA_DESPAR].&[POSORJA],POSORJA,22215
[DIVPOL].[DPA_DESPAR].&[POZUL (SAN JUAN DE POZUL)],POZUL (SAN JUAN DE POZUL),1139
[DIVPOL].[DPA_DESPAR].&[PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)],PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL),1856
[DIVPOL].[DPA_DESPAR].&[PRINCIPAL],PRINCIPAL,389
[DIVPOL].[DPA_DESPAR].&[PROGRESO],PROGRESO,3611
[DIVPOL].[DPA_DESPAR].&[PUCAPAMBA],PUCAPAMBA,150
[DIVPOL].[DPA_DESPAR].&[PUCARA],PUCARA,4326
[DIVPOL].[DPA_DESPAR].&[PUCAYACU],PUCAYACU,591
[DIVPOL].[DPA_DESPAR].&[PUEBLO NUEVO],PUEBLO NUEVO,1150
[DIVPOL].[DPA_DESPAR].&[PUEBLOVIEJO],PUEBLOVIEJO,25046
[DIVPOL].[DPA_DESPAR].&[PUELA],PUELA,375
[DIVPOL].[DPA_DESPAR].&[PUELLARO],PUELLARO,1771
[DIVPOL].[DPA_DESPAR].&[PUEMBO],PUEMBO,24450
[DIVPOL].[DPA_DESPAR].&[PUERTO AYORA],PUERTO AYORA,26590
[DIVPOL].[DPA_DESPAR].&[PUERTO BAQUERIZO MORENO],PUERTO BAQUERIZO MORENO,29427
[DIVPOL].[DPA_DESPAR].&[PUERTO BOLIVAR (PUERTO MONTUFAR)],PUERTO BOLIVAR (PUERTO MONTUFAR),16
[DIVPOL].[DPA_DESPAR].&[PUERTO DE CAYO],PUERTO DE CAYO,2990
[DIVPOL].[DPA_DESPAR].&[PUERTO EL CARMEN DEL PUTUMAYO],PUERTO EL CARMEN DEL PUTUMAYO,8151
[DIVPOL].[DPA_DESPAR].&[PUERTO FRANCISCO DE ORELLANA (EL COCA)],PUERTO FRANCISCO DE ORELLANA (EL COCA),143573
[DIVPOL].[DPA_DESPAR].&[PUERTO LIBRE],PUERTO LIBRE,516
[DIVPOL].[DPA_DESPAR].&[PUERTO LIMON],PUERTO LIMON,7704
[DIVPOL].[DPA_DESPAR].&[PUERTO LOPEZ],PUERTO LOPEZ,7506
[DIVPOL].[DPA_DESPAR].&[PUERTO MISAHUALLI],PUERTO MISAHUALLI,2406
[DIVPOL].[DPA_DESPAR].&[PUERTO MURIALDO],PUERTO MURIALDO,880
[DIVPOL].[DPA_DESPAR].&[PUERTO NAPO],PUERTO NAPO,2897
[DIVPOL].[DPA_DESPAR].&[PUERTO PECHICHE],PUERTO PECHICHE,2045
[DIVPOL].[DPA_DESPAR].&[PUERTO QUITO],PUERTO QUITO,12211
[DIVPOL].[DPA_DESPAR].&[PUERTO RODRIGUEZ],PUERTO RODRIGUEZ,24
[DIVPOL].[DPA_DESPAR].&[PUERTO VILLAMIL],PUERTO VILLAMIL,7311
[DIVPOL].[DPA_DESPAR].&[PUJILI],PUJILI,37182
[DIVPOL].[DPA_DESPAR].&[PUMALLACTA],PUMALLACTA,103
[DIVPOL].[DPA_DESPAR].&[PUMPUENTSA],PUMPUENTSA,134
[DIVPOL].[DPA_DESPAR].&[PUNA],PUNA,3498
[DIVPOL].[DPA_DESPAR].&[PUNGALA],PUNGALA,1389
[DIVPOL].[DPA_DESPAR].&[PUNIN],PUNIN,1814
[DIVPOL].[DPA_DESPAR].&[PURUNUMA (EGUIGUREN)],PURUNUMA (EGUIGUREN),618
[DIVPOL].[DPA_DESPAR].&[PUYO],PUYO,116974
[DIVPOL].[DPA_DESPAR].&[QUERO],QUERO,10821
[DIVPOL].[DPA_DESPAR].&[QUEVEDO],QUEVEDO,276422
[DIVPOL].[DPA_DESPAR].&[QUILANGA],QUILANGA,3261
[DIVPOL].[DPA_DESPAR].&[QUIMIAG],QUIMIAG,1901
[DIVPOL].[DPA_DESPAR].&[QUINARA],QUINARA,605
[DIVPOL].[DPA_DESPAR].&[QUINCHICOTO],QUINCHICOTO,746
[DIVPOL].[DPA_DESPAR].&[QUINGEO],QUINGEO,3958
[DIVPOL].[DPA_DESPAR].&[QUINGUE (OLMEDO PERDOMO FRANCO)],QUINGUE (OLMEDO PERDOMO FRANCO),49
[DIVPOL].[DPA_DESPAR].&[QUINSALOMA],QUINSALOMA,14313
[DIVPOL].[DPA_DESPAR].&[QUIROGA],QUIROGA,6509
[DIVPOL].[DPA_DESPAR].&[QUISAPINCHA (QUIZAPINCHA)],QUISAPINCHA (QUIZAPINCHA),3581
[DIVPOL].[DPA_DESPAR].&[QUITO],QUITO,3841162
[DIVPOL].[DPA_DESPAR].&[RAMON CAMPAÑA],RAMON CAMPAÑA,290
[DIVPOL].[DPA_DESPAR].&[REGULO DE MORA],REGULO DE MORA,322
[DIVPOL].[DPA_DESPAR].&[REMIGIO CRESPO TORAL (GULAG)],REMIGIO CRESPO TORAL (GULAG),1151
[DIVPOL].[DPA_DESPAR].&[RICAURTE],RICAURTE,50134
[DIVPOL].[DPA_DESPAR].&[RIO BLANCO],RIO BLANCO,4539
[DIVPOL].[DPA_DESPAR].&[RIO BONITO],RIO BONITO,8801
[DIVPOL].[DPA_DESPAR].&[RIO CORRIENTES],RIO CORRIENTES,15
[DIVPOL].[DPA_DESPAR].&[RIO NEGRO],RIO NEGRO,2346
[DIVPOL].[DPA_DESPAR].&[RIO TIGRE],RIO TIGRE,75
[DIVPOL].[DPA_DESPAR].&[RIO VERDE],RIO VERDE,1428
[DIVPOL].[DPA_DESPAR].&[RIOBAMBA],RIOBAMBA,453392
[DIVPOL].[DPA_DESPAR].&[RIOCHICO (RIO CHICO)],RIOCHICO (RIO CHICO),6126
[DIVPOL].[DPA_DESPAR].&[RIOVERDE],RIOVERDE,8518
[DIVPOL].[DPA_DESPAR].&[RIVERA],RIVERA,293
[DIVPOL].[DPA_DESPAR].&[ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)],ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),6354
[DIVPOL].[DPA_DESPAR].&[ROCAFUERTE],ROCAFUERTE,26974
[DIVPOL].[DPA_DESPAR].&[ROSA FLORIDA],ROSA FLORIDA,28
[DIVPOL].[DPA_DESPAR].&[ROSA ZARATE (QUININDE)],ROSA ZARATE (QUININDE),56079
[DIVPOL].[DPA_DESPAR].&[RUMIPAMBA],RUMIPAMBA,1916
[DIVPOL].[DPA_DESPAR].&[SABANILLA],SABANILLA,6712
[DIVPOL].[DPA_DESPAR].&[SABIANGO (LA CAPILLA)],SABIANGO (LA CAPILLA),933
[DIVPOL].[DPA_DESPAR].&[SACAPALCA],SACAPALCA,651
[DIVPOL].[DPA_DESPAR].&[SALANGO],SALANGO,1869
[DIVPOL].[DPA_DESPAR].&[SALASACA],SALASACA,3832
[DIVPOL].[DPA_DESPAR].&[SALATI],SALATI,409
[DIVPOL].[DPA_DESPAR].&[SALIMA],SALIMA,349
[DIVPOL].[DPA_DESPAR].&[SALINAS],SALINAS,76902
[DIVPOL].[DPA_DESPAR].&[SALVIAS],SALVIAS,272
[DIVPOL].[DPA_DESPAR].&[SAMBORONDON],SAMBORONDON,96994
[DIVPOL].[DPA_DESPAR].&[SAN  FCO. DE SIGSIPAMBA],SAN  FCO. DE SIGSIPAMBA,91
[DIVPOL].[DPA_DESPAR].&[SAN ANDRES],SAN ANDRES,14890
[DIVPOL].[DPA_DESPAR].&[SAN ANTONIO],SAN ANTONIO,101543
[DIVPOL].[DPA_DESPAR].&[SAN ANTONIO (CAB EN SAN ANTONIO CENTRO)],SAN ANTONIO (CAB EN SAN ANTONIO CENTRO),673
[DIVPOL].[DPA_DESPAR].&[SAN ANTONIO DE BAYUSHIG],SAN ANTONIO DE BAYUSHIG,1002
[DIVPOL].[DPA_DESPAR].&[SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)],SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS),1278
[DIVPOL].[DPA_DESPAR].&[SAN ANTONIO DE QUMBE (CUMBE)],SAN ANTONIO DE QUMBE (CUMBE),389
[DIVPOL].[DPA_DESPAR].&[SAN BARTOLOME],SAN BARTOLOME,1763
[DIVPOL].[DPA_DESPAR].&[SAN BARTOLOME DE PINLLOG],SAN BARTOLOME DE PINLLOG,11759
[DIVPOL].[DPA_DESPAR].&[SAN BLAS],SAN BLAS,2307
[DIVPOL].[DPA_DESPAR].&[SAN CARLOS],SAN CARLOS,25844
[DIVPOL].[DPA_DESPAR].&[SAN CARLOS DE LAS MINAS],SAN CARLOS DE LAS MINAS,1567
[DIVPOL].[DPA_DESPAR].&[SAN CARLOS DE LIMON],SAN CARLOS DE LIMON,143
[DIVPOL].[DPA_DESPAR].&[SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO)],SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO),3185
[DIVPOL].[DPA_DESPAR].&[SAN FCO. DE NATABUELA],SAN FCO. DE NATABUELA,8556
[DIVPOL].[DPA_DESPAR].&[SAN FELIPE DE OÑA],SAN FELIPE DE OÑA,2270
[DIVPOL].[DPA_DESPAR].&[SAN FERNANDO],SAN FERNANDO,1207
[DIVPOL].[DPA_DESPAR].&[SAN FERNANDO (PASA SAN FERNANDO)],SAN FERNANDO (PASA SAN FERNANDO),1891
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO],SAN FRANCISCO,1835
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)],SAN FRANCISCO DE BORJA (VIRGILIO DAVILA),779
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DE CHINIMBIMI],SAN FRANCISCO DE CHINIMBIMI,923
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO)],SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO),127
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DE ONZOLE],SAN FRANCISCO DE ONZOLE,28
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DE SAGEO],SAN FRANCISCO DE SAGEO,1317
[DIVPOL].[DPA_DESPAR].&[SAN FRANCISCO DEL VERGEL],SAN FRANCISCO DEL VERGEL,298
[DIVPOL].[DPA_DESPAR].&[SAN GABRIEL],SAN GABRIEL,27858
[DIVPOL].[DPA_DESPAR].&[SAN GERARDO],SAN GERARDO,366
[DIVPOL].[DPA_DESPAR].&[SAN GERARDO DE PACAICAGUAN],SAN GERARDO DE PACAICAGUAN,1929
[DIVPOL].[DPA_DESPAR].&[SAN GREGORIO],SAN GREGORIO,1642
[DIVPOL].[DPA_DESPAR].&[SAN ISIDRO],SAN ISIDRO,7660
[DIVPOL].[DPA_DESPAR].&[SAN ISIDRO DE PATULU],SAN ISIDRO DE PATULU,2229
[DIVPOL].[DPA_DESPAR].&[SAN JACINTO],SAN JACINTO,796
[DIVPOL].[DPA_DESPAR].&[SAN JACINTO DE BUENA FE],SAN JACINTO DE BUENA FE,81690
[DIVPOL].[DPA_DESPAR].&[SAN JACINTO DE WAKAMBEIS],SAN JACINTO DE WAKAMBEIS,60
[DIVPOL].[DPA_DESPAR].&[SAN JACINTO DE YAGUACHI],SAN JACINTO DE YAGUACHI,34067
[DIVPOL].[DPA_DESPAR].&[SAN JACINTO DEL BUA],SAN JACINTO DEL BUA,7288
[DIVPOL].[DPA_DESPAR].&[SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER)],SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER),130
[DIVPOL].[DPA_DESPAR].&[SAN JOAQUIN],SAN JOAQUIN,10893
[DIVPOL].[DPA_DESPAR].&[SAN JOSE],SAN JOSE,1086
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE ANCON],SAN JOSE DE ANCON,4158
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE AYORA],SAN JOSE DE AYORA,6464
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE CAYAPAS],SAN JOSE DE CAYAPAS,33
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE CHALTURA],SAN JOSE DE CHALTURA,3510
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE CHAMANGA],SAN JOSE DE CHAMANGA,2920
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE CHIMBO],SAN JOSE DE CHIMBO,10294
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE DAHUANO],SAN JOSE DE DAHUANO,746
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE GUAYUSA],SAN JOSE DE GUAYUSA,1152
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE MINAS],SAN JOSE DE MINAS,2049
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE MORONA],SAN JOSE DE MORONA,1300
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE PAYAMINO],SAN JOSE DE PAYAMINO,403
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE POALO],SAN JOSE DE POALO,551
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE QUICHINCHE],SAN JOSE DE QUICHINCHE,4589
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DE RARANGA],SAN JOSE DE RARANGA,707
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DEL CHAZO],SAN JOSE DEL CHAZO,345
[DIVPOL].[DPA_DESPAR].&[SAN JOSE DEL TAMBO (TAMBOPAMBA)],SAN JOSE DEL TAMBO (TAMBOPAMBA),5277
[DIVPOL].[DPA_DESPAR].&[SAN JUAN],SAN JUAN,26444
[DIVPOL].[DPA_DESPAR].&[SAN JUAN BOSCO],SAN JUAN BOSCO,1701
[DIVPOL].[DPA_DESPAR].&[SAN JUAN DE CERRO AZUL],SAN JUAN DE CERRO AZUL,107
[DIVPOL].[DPA_DESPAR].&[SAN JUAN DE ILUMAN],SAN JUAN DE ILUMAN,7875
[DIVPOL].[DPA_DESPAR].&[SAN JUAN DE MUYUNA],SAN JUAN DE MUYUNA,2391
[DIVPOL].[DPA_DESPAR].&[SAN JUAN DE PASTOCALLE],SAN JUAN DE PASTOCALLE,10425
[DIVPOL].[DPA_DESPAR].&[SAN LORENZO],SAN LORENZO,35724
[DIVPOL].[DPA_DESPAR].&[SAN LUCAS],SAN LUCAS,1850
[DIVPOL].[DPA_DESPAR].&[SAN LUIS],SAN LUIS,15543
[DIVPOL].[DPA_DESPAR].&[SAN LUIS DE ARMENIA],SAN LUIS DE ARMENIA,1747
[DIVPOL].[DPA_DESPAR].&[SAN LUIS DE EL ACHO (CAB EN EL ACHO)],SAN LUIS DE EL ACHO (CAB EN EL ACHO),420
[DIVPOL].[DPA_DESPAR].&[SAN LUIS DE PAMBIL],SAN LUIS DE PAMBIL,12172
[DIVPOL].[DPA_DESPAR].&[SAN MARTIN DE PUZHIO],SAN MARTIN DE PUZHIO,514
[DIVPOL].[DPA_DESPAR].&[SAN MATEO],SAN MATEO,9767
[DIVPOL].[DPA_DESPAR].&[SAN MIGUEL],SAN MIGUEL,64263
[DIVPOL].[DPA_DESPAR].&[SAN MIGUEL DE CONCHAY],SAN MIGUEL DE CONCHAY,134
[DIVPOL].[DPA_DESPAR].&[SAN MIGUEL DE CUYES],SAN MIGUEL DE CUYES,132
[DIVPOL].[DPA_DESPAR].&[SAN MIGUEL DE IBARRA],SAN MIGUEL DE IBARRA,475461
[DIVPOL].[DPA_DESPAR].&[SAN MIGUEL DE LOS BANCOS],SAN MIGUEL DE LOS BANCOS,9474
[DIVPOL].[DPA_DESPAR].&[SAN MIGUELITO],SAN MIGUELITO,3033
[DIVPOL].[DPA_DESPAR].&[SAN PABLO],SAN PABLO,10031
[DIVPOL].[DPA_DESPAR].&[SAN PABLO (CAB EN PUEBLO NUEVO)],SAN PABLO (CAB EN PUEBLO NUEVO),185
[DIVPOL].[DPA_DESPAR].&[SAN PABLO (SAN PABLO DE ATENAS)],SAN PABLO (SAN PABLO DE ATENAS),4008
[DIVPOL].[DPA_DESPAR].&[SAN PABLO DE TENTA],SAN PABLO DE TENTA,606
[DIVPOL].[DPA_DESPAR].&[SAN PABLO DE USHPAYACU],SAN PABLO DE USHPAYACU,1140
[DIVPOL].[DPA_DESPAR].&[SAN PEDRO DE LA BENDITA],SAN PEDRO DE LA BENDITA,3069
[DIVPOL].[DPA_DESPAR].&[SAN PEDRO DE LOS COFANES],SAN PEDRO DE LOS COFANES,4408
[DIVPOL].[DPA_DESPAR].&[SAN PEDRO DE SUMA],SAN PEDRO DE SUMA,1338
[DIVPOL].[DPA_DESPAR].&[SAN PEDRO DE VILCABAMBA],SAN PEDRO DE VILCABAMBA,2587
[DIVPOL].[DPA_DESPAR].&[SAN PLACIDO],SAN PLACIDO,2970
[DIVPOL].[DPA_DESPAR].&[SAN RAFAEL],SAN RAFAEL,2106
[DIVPOL].[DPA_DESPAR].&[SAN RAFAEL DE SHARUG],SAN RAFAEL DE SHARUG,393
[DIVPOL].[DPA_DESPAR].&[SAN ROQUE],SAN ROQUE,8830
[DIVPOL].[DPA_DESPAR].&[SAN ROQUE (AMBROSIO MALDONADO)],SAN ROQUE (AMBROSIO MALDONADO),306
[DIVPOL].[DPA_DESPAR].&[SAN ROQUE (CAB. EN SAN VICENTE)],SAN ROQUE (CAB. EN SAN VICENTE),1795
[DIVPOL].[DPA_DESPAR].&[SAN SALVADOR DE CAÑARIBAMBA],SAN SALVADOR DE CAÑARIBAMBA,839
[DIVPOL].[DPA_DESPAR].&[SAN SEBASTIAN],SAN SEBASTIAN,2362
[DIVPOL].[DPA_DESPAR].&[SAN SEBASTIAN DE YULUC],SAN SEBASTIAN DE YULUC,404
[DIVPOL].[DPA_DESPAR].&[SAN SEBASTIAN DEL COCA],SAN SEBASTIAN DEL COCA,2620
[DIVPOL].[DPA_DESPAR].&[SAN SIMON (YACOTO)],SAN SIMON (YACOTO),4614
[DIVPOL].[DPA_DESPAR].&[SAN VICENTE],SAN VICENTE,16053
[DIVPOL].[DPA_DESPAR].&[SAN VICENTE DE HUATICOCHA],SAN VICENTE DE HUATICOCHA,397
[DIVPOL].[DPA_DESPAR].&[SAN VICENTE DE PUSIR],SAN VICENTE DE PUSIR,1214
[DIVPOL].[DPA_DESPAR].&[SANGAY (CAB EN NAYAMANACA)],SANGAY (CAB EN NAYAMANACA),1925
[DIVPOL].[DPA_DESPAR].&[SANGOLQUI],SANGOLQUI,249814
[DIVPOL].[DPA_DESPAR].&[SANGUILLIN],SANGUILLIN,374
[DIVPOL].[DPA_DESPAR].&[SANTA ANA],SANTA ANA,4210
[DIVPOL].[DPA_DESPAR].&[SANTA ANA DE VUELTA LARGA],SANTA ANA DE VUELTA LARGA,10494
[DIVPOL].[DPA_DESPAR].&[SANTA BARBARA],SANTA BARBARA,47
[DIVPOL].[DPA_DESPAR].&[SANTA CECILIA],SANTA CECILIA,7246
[DIVPOL].[DPA_DESPAR].&[SANTA CLARA],SANTA CLARA,2917
[DIVPOL].[DPA_DESPAR].&[SANTA ELENA],SANTA ELENA,75290
[DIVPOL].[DPA_DESPAR].&[SANTA FE (SANTA FE)],SANTA FE (SANTA FE),3065
[DIVPOL].[DPA_DESPAR].&[SANTA FE DE GALAN],SANTA FE DE GALAN,311
[DIVPOL].[DPA_DESPAR].&[SANTA ISABEL (CHAGUARURCO)],SANTA ISABEL (CHAGUARURCO),14398
[DIVPOL].[DPA_DESPAR].&[SANTA LUCIA],SANTA LUCIA,21309
[DIVPOL].[DPA_DESPAR].&[SANTA LUCIA DE LAS PEÑAS],SANTA LUCIA DE LAS PEÑAS,2087
[DIVPOL].[DPA_DESPAR].&[SANTA MARIA DE HUIRIRIMA],SANTA MARIA DE HUIRIRIMA,4
[DIVPOL].[DPA_DESPAR].&[SANTA MARIA DEL TOACHI],SANTA MARIA DEL TOACHI,2383
[DIVPOL].[DPA_DESPAR].&[SANTA MARIANITA (BOCA DE PACOCHE)],SANTA MARIANITA (BOCA DE PACOCHE),1648
[DIVPOL].[DPA_DESPAR].&[SANTA MARIANITA DE JESUS],SANTA MARIANITA DE JESUS,1265
[DIVPOL].[DPA_DESPAR].&[SANTA MARTHA DE CUBA],SANTA MARTHA DE CUBA,2023
[DIVPOL].[DPA_DESPAR].&[SANTA RITA],SANTA RITA,412
[DIVPOL].[DPA_DESPAR].&[SANTA ROSA],SANTA ROSA,132341
[DIVPOL].[DPA_DESPAR].&[SANTA ROSA DE CUZUBAMBA],SANTA ROSA DE CUZUBAMBA,4001
[DIVPOL].[DPA_DESPAR].&[SANTA ROSA DE FLANDES],SANTA ROSA DE FLANDES,7482
[DIVPOL].[DPA_DESPAR].&[SANTA ROSA DE SUCUMBIOS],SANTA ROSA DE SUCUMBIOS,140
[DIVPOL].[DPA_DESPAR].&[SANTA RUFINA],SANTA RUFINA,420
[DIVPOL].[DPA_DESPAR].&[SANTA TERESITA],SANTA TERESITA,770
[DIVPOL].[DPA_DESPAR].&[SANTIAGO],SANTIAGO,5824
[DIVPOL].[DPA_DESPAR].&[SANTIAGO DE MENDEZ],SANTIAGO DE MENDEZ,7919
[DIVPOL].[DPA_DESPAR].&[SANTIAGO DE PANANZA],SANTIAGO DE PANANZA,217
[DIVPOL].[DPA_DESPAR].&[SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)],SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO),1424
[DIVPOL].[DPA_DESPAR].&[SANTO DOMINGO DE LOS COLORADOS],SANTO DOMINGO DE LOS COLORADOS,677633
[DIVPOL].[DPA_DESPAR].&[SANTO DOMINGO DE ONZOLE],SANTO DOMINGO DE ONZOLE,16
[DIVPOL].[DPA_DESPAR].&[SAQUISILI],SAQUISILI,20131
[DIVPOL].[DPA_DESPAR].&[SARACAY],SARACAY,2759
[DIVPOL].[DPA_DESPAR].&[SARAGURO],SARAGURO,9601
[DIVPOL].[DPA_DESPAR].&[SARAYACU],SARAYACU,302
[DIVPOL].[DPA_DESPAR].&[SARDINAS],SARDINAS,258
[DIVPOL].[DPA_DESPAR].&[SAYAUSI],SAYAUSI,13315
[DIVPOL].[DPA_DESPAR].&[SELVA ALEGRE],SELVA ALEGRE,863
[DIVPOL].[DPA_DESPAR].&[SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA)],SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA),238
[DIVPOL].[DPA_DESPAR].&[SEVILLA],SEVILLA,2653
[DIVPOL].[DPA_DESPAR].&[SEVILLA DE ORO],SEVILLA DE ORO,752
[DIVPOL].[DPA_DESPAR].&[SEVILLA DON BOSCO],SEVILLA DON BOSCO,22377
[DIVPOL].[DPA_DESPAR].&[SHELL],SHELL,15603
[DIVPOL].[DPA_DESPAR].&[SHIMPIS],SHIMPIS,1644
[DIVPOL].[DPA_DESPAR].&[SHUSHUFINDI],SHUSHUFINDI,42652
[DIVPOL].[DPA_DESPAR].&[SIBAMBE],SIBAMBE,1461
[DIVPOL].[DPA_DESPAR].&[SIDCAY],SIDCAY,2473
[DIVPOL].[DPA_DESPAR].&[SIETE DE JULIO],SIETE DE JULIO,2709
[DIVPOL].[DPA_DESPAR].&[SIGCHOS],SIGCHOS,6694
[DIVPOL].[DPA_DESPAR].&[SIGSIG],SIGSIG,9970
[DIVPOL].[DPA_DESPAR].&[SIMIATUG],SIMIATUG,2325
[DIVPOL].[DPA_DESPAR].&[SIMON BOLIVAR],SIMON BOLIVAR,13089
[DIVPOL].[DPA_DESPAR].&[SIMON BOLIVAR (CAB. EN GAÑANZOL)],SIMON BOLIVAR (CAB. EN GAÑANZOL),635
[DIVPOL].[DPA_DESPAR].&[SIMON BOLIVAR (CAB. EN MUSHULLACTA)],SIMON BOLIVAR (CAB. EN MUSHULLACTA),6643
[DIVPOL].[DPA_DESPAR].&[SIMON BOLIVAR (JULIO MORENO)],SIMON BOLIVAR (JULIO MORENO),688
[DIVPOL].[DPA_DESPAR].&[SINAI],SINAI,1595
[DIVPOL].[DPA_DESPAR].&[SININCAY],SININCAY,15417
[DIVPOL].[DPA_DESPAR].&[SINSAO],SINSAO,485
[DIVPOL].[DPA_DESPAR].&[SOLANO],SOLANO,1645
[DIVPOL].[DPA_DESPAR].&[SOZORANGA],SOZORANGA,1418
[DIVPOL].[DPA_DESPAR].&[STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA)],STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA),332
[DIVPOL].[DPA_DESPAR].&[SUA (CAB. EN LA BOCANA)],SUA (CAB. EN LA BOCANA),4251
[DIVPOL].[DPA_DESPAR].&[SUCRE],SUCRE,4483
[DIVPOL].[DPA_DESPAR].&[SUCRE (CAB. EN SUCRE-PATATE URCU)],SUCRE (CAB. EN SUCRE-PATATE URCU),732
[DIVPOL].[DPA_DESPAR].&[SUCUA],SUCUA,29107
[DIVPOL].[DPA_DESPAR].&[SUMACO],SUMACO,21
[DIVPOL].[DPA_DESPAR].&[SUMAYPAMBA],SUMAYPAMBA,266
[DIVPOL].[DPA_DESPAR].&[SUSCAL],SUSCAL,3212
[DIVPOL].[DPA_DESPAR].&[SUSUDEL],SUSUDEL,999
[DIVPOL].[DPA_DESPAR].&[TABABELA],TABABELA,13723
[DIVPOL].[DPA_DESPAR].&[TABACUNDO],TABACUNDO,24630
[DIVPOL].[DPA_DESPAR].&[TABIAZO],TABIAZO,933
[DIVPOL].[DPA_DESPAR].&[TACAMOROS],TACAMOROS,266
[DIVPOL].[DPA_DESPAR].&[TACHINA],TACHINA,9311
[DIVPOL].[DPA_DESPAR].&[TADAY],TADAY,273
[DIVPOL].[DPA_DESPAR].&[TAISHA],TAISHA,5967
[DIVPOL].[DPA_DESPAR].&[TALAG],TALAG,1451
[DIVPOL].[DPA_DESPAR].&[TAMBILLO],TAMBILLO,23457
[DIVPOL].[DPA_DESPAR].&[TANICUCHI],TANICUCHI,16051
[DIVPOL].[DPA_DESPAR].&[TAQUIL (MIGUEL RIOFRIO)],TAQUIL (MIGUEL RIOFRIO),2036
[DIVPOL].[DPA_DESPAR].&[TARACOA (NUEVA ESPERANZA: YUCA)],TARACOA (NUEVA ESPERANZA: YUCA),16709
[DIVPOL].[DPA_DESPAR].&[TARAPOA],TARAPOA,6611
[DIVPOL].[DPA_DESPAR].&[TARIFA],TARIFA,19785
[DIVPOL].[DPA_DESPAR].&[TARQUI],TARQUI,20966
[DIVPOL].[DPA_DESPAR].&[TAURA],TAURA,9004
[DIVPOL].[DPA_DESPAR].&[TAYUZA],TAYUZA,691
[DIVPOL].[DPA_DESPAR].&[TELEMBI],TELEMBI,244
[DIVPOL].[DPA_DESPAR].&[TELIMBELA],TELIMBELA,425
[DIVPOL].[DPA_DESPAR].&[TENA],TENA,71846
[DIVPOL].[DPA_DESPAR].&[TENDALES (CAB. EN PUERTO TENDALES)],TENDALES (CAB. EN PUERTO TENDALES),4307
[DIVPOL].[DPA_DESPAR].&[TENGUEL],TENGUEL,8029
[DIVPOL].[DPA_DESPAR].&[TENIENTE HUGO ORTIZ],TENIENTE HUGO ORTIZ,1030
[DIVPOL].[DPA_DESPAR].&[TIMBARA],TIMBARA,2186
[DIVPOL].[DPA_DESPAR].&[TIMBIRE],TIMBIRE,744
[DIVPOL].[DPA_DESPAR].&[TINGO],TINGO,1416
[DIVPOL].[DPA_DESPAR].&[TIPUTINI],TIPUTINI,339
[DIVPOL].[DPA_DESPAR].&[TISALEO],TISALEO,11914
[DIVPOL].[DPA_DESPAR].&[TIXAN],TIXAN,3016
