[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[HoraId].&[000426],000426,304
[DMH_INCIDENT].[HoraId].&[000427],000427,284
[DMH_INCIDENT].[HoraId].&[000428],000428,315
[DMH_INCIDENT].[HoraId].&[000429],000429,282
[DMH_INCIDENT].[HoraId].&[000430],000430,308
[DMH_INCIDENT].[HoraId].&[000431],000431,310
[DMH_INCIDENT].[HoraId].&[000432],000432,313
[DMH_INCIDENT].[HoraId].&[000433],000433,297
[DMH_INCIDENT].[HoraId].&[000434],000434,278
[DMH_INCIDENT].[HoraId].&[000435],000435,320
[DMH_INCIDENT].[HoraId].&[000436],000436,329
[DMH_INCIDENT].[HoraId].&[000437],000437,297
[DMH_INCIDENT].[HoraId].&[000438],000438,295
[DMH_INCIDENT].[HoraId].&[000439],000439,327
[DMH_INCIDENT].[HoraId].&[000440],000440,299
[DMH_INCIDENT].[HoraId].&[000441],000441,324
[DMH_INCIDENT].[HoraId].&[000442],000442,312
[DMH_INCIDENT].[HoraId].&[000443],000443,322
[DMH_INCIDENT].[HoraId].&[000444],000444,339
[DMH_INCIDENT].[HoraId].&[000445],000445,275
[DMH_INCIDENT].[HoraId].&[000446],000446,313
[DMH_INCIDENT].[HoraId].&[000447],000447,306
[DMH_INCIDENT].[HoraId].&[000448],000448,318
[DMH_INCIDENT].[HoraId].&[000449],000449,318
[DMH_INCIDENT].[HoraId].&[000450],000450,258
[DMH_INCIDENT].[HoraId].&[000451],000451,327
[DMH_INCIDENT].[HoraId].&[000452],000452,309
[DMH_INCIDENT].[HoraId].&[000453],000453,288
[DMH_INCIDENT].[HoraId].&[000454],000454,296
[DMH_INCIDENT].[HoraId].&[000455],000455,296
[DMH_INCIDENT].[HoraId].&[000456],000456,319
[DMH_INCIDENT].[HoraId].&[000457],000457,313
[DMH_INCIDENT].[HoraId].&[000458],000458,314
[DMH_INCIDENT].[HoraId].&[000459],000459,261
[DMH_INCIDENT].[HoraId].&[000500],000500,325
[DMH_INCIDENT].[HoraId].&[000501],000501,313
[DMH_INCIDENT].[HoraId].&[000502],000502,305
[DMH_INCIDENT].[HoraId].&[000503],000503,309
[DMH_INCIDENT].[HoraId].&[000504],000504,299
[DMH_INCIDENT].[HoraId].&[000505],000505,322
[DMH_INCIDENT].[HoraId].&[000506],000506,306
[DMH_INCIDENT].[HoraId].&[000507],000507,303
[DMH_INCIDENT].[HoraId].&[000508],000508,294
[DMH_INCIDENT].[HoraId].&[000509],000509,289
[DMH_INCIDENT].[HoraId].&[000510],000510,308
[DMH_INCIDENT].[HoraId].&[000511],000511,310
[DMH_INCIDENT].[HoraId].&[000512],000512,310
[DMH_INCIDENT].[HoraId].&[000513],000513,303
[DMH_INCIDENT].[HoraId].&[000514],000514,320
[DMH_INCIDENT].[HoraId].&[000515],000515,295
[DMH_INCIDENT].[HoraId].&[000516],000516,300
[DMH_INCIDENT].[HoraId].&[000517],000517,281
[DMH_INCIDENT].[HoraId].&[000518],000518,286
[DMH_INCIDENT].[HoraId].&[000519],000519,313
[DMH_INCIDENT].[HoraId].&[000520],000520,306
[DMH_INCIDENT].[HoraId].&[000521],000521,305
[DMH_INCIDENT].[HoraId].&[000522],000522,301
[DMH_INCIDENT].[HoraId].&[000523],000523,343
[DMH_INCIDENT].[HoraId].&[000524],000524,342
[DMH_INCIDENT].[HoraId].&[000525],000525,311
[DMH_INCIDENT].[HoraId].&[000526],000526,298
[DMH_INCIDENT].[HoraId].&[000527],000527,292
[DMH_INCIDENT].[HoraId].&[000528],000528,274
[DMH_INCIDENT].[HoraId].&[000529],000529,315
[DMH_INCIDENT].[HoraId].&[000530],000530,294
[DMH_INCIDENT].[HoraId].&[000531],000531,282
[DMH_INCIDENT].[HoraId].&[000532],000532,269
[DMH_INCIDENT].[HoraId].&[000533],000533,292
[DMH_INCIDENT].[HoraId].&[000534],000534,318
[DMH_INCIDENT].[HoraId].&[000535],000535,310
[DMH_INCIDENT].[HoraId].&[000536],000536,321
[DMH_INCIDENT].[HoraId].&[000537],000537,299
[DMH_INCIDENT].[HoraId].&[000538],000538,298
[DMH_INCIDENT].[HoraId].&[000539],000539,275
[DMH_INCIDENT].[HoraId].&[000540],000540,309
[DMH_INCIDENT].[HoraId].&[000541],000541,290
[DMH_INCIDENT].[HoraId].&[000542],000542,303
[DMH_INCIDENT].[HoraId].&[000543],000543,279
[DMH_INCIDENT].[HoraId].&[000544],000544,277
[DMH_INCIDENT].[HoraId].&[000545],000545,292
[DMH_INCIDENT].[HoraId].&[000546],000546,319
[DMH_INCIDENT].[HoraId].&[000547],000547,299
[DMH_INCIDENT].[HoraId].&[000548],000548,328
[DMH_INCIDENT].[HoraId].&[000549],000549,309
[DMH_INCIDENT].[HoraId].&[000550],000550,294
[DMH_INCIDENT].[HoraId].&[000551],000551,293
[DMH_INCIDENT].[HoraId].&[000552],000552,271
[DMH_INCIDENT].[HoraId].&[000553],000553,297
[DMH_INCIDENT].[HoraId].&[000554],000554,320
[DMH_INCIDENT].[HoraId].&[000555],000555,321
[DMH_INCIDENT].[HoraId].&[000556],000556,296
[DMH_INCIDENT].[HoraId].&[000557],000557,286
[DMH_INCIDENT].[HoraId].&[000558],000558,281
[DMH_INCIDENT].[HoraId].&[000559],000559,302
[DMH_INCIDENT].[HoraId].&[000600],000600,302
[DMH_INCIDENT].[HoraId].&[000601],000601,313
[DMH_INCIDENT].[HoraId].&[000602],000602,298
[DMH_INCIDENT].[HoraId].&[000603],000603,327
[DMH_INCIDENT].[HoraId].&[000604],000604,305
[DMH_INCIDENT].[HoraId].&[000605],000605,295
[DMH_INCIDENT].[HoraId].&[000606],000606,320
[DMH_INCIDENT].[HoraId].&[000607],000607,307
[DMH_INCIDENT].[HoraId].&[000608],000608,287
[DMH_INCIDENT].[HoraId].&[000609],000609,304
[DMH_INCIDENT].[HoraId].&[000610],000610,288
[DMH_INCIDENT].[HoraId].&[000611],000611,278
[DMH_INCIDENT].[HoraId].&[000612],000612,314
[DMH_INCIDENT].[HoraId].&[000613],000613,281
[DMH_INCIDENT].[HoraId].&[000614],000614,279
[DMH_INCIDENT].[HoraId].&[000615],000615,266
[DMH_INCIDENT].[HoraId].&[000616],000616,302
[DMH_INCIDENT].[HoraId].&[000617],000617,290
[DMH_INCIDENT].[HoraId].&[000618],000618,283
[DMH_INCIDENT].[HoraId].&[000619],000619,279
[DMH_INCIDENT].[HoraId].&[000620],000620,275
[DMH_INCIDENT].[HoraId].&[000621],000621,313
[DMH_INCIDENT].[HoraId].&[000622],000622,286
[DMH_INCIDENT].[HoraId].&[000623],000623,276
[DMH_INCIDENT].[HoraId].&[000624],000624,322
[DMH_INCIDENT].[HoraId].&[000625],000625,301
[DMH_INCIDENT].[HoraId].&[000626],000626,296
[DMH_INCIDENT].[HoraId].&[000627],000627,309
[DMH_INCIDENT].[HoraId].&[000628],000628,279
[DMH_INCIDENT].[HoraId].&[000629],000629,270
[DMH_INCIDENT].[HoraId].&[000630],000630,312
[DMH_INCIDENT].[HoraId].&[000631],000631,270
[DMH_INCIDENT].[HoraId].&[000632],000632,319
[DMH_INCIDENT].[HoraId].&[000633],000633,320
[DMH_INCIDENT].[HoraId].&[000634],000634,302
[DMH_INCIDENT].[HoraId].&[000635],000635,295
[DMH_INCIDENT].[HoraId].&[000636],000636,301
[DMH_INCIDENT].[HoraId].&[000637],000637,291
[DMH_INCIDENT].[HoraId].&[000638],000638,272
[DMH_INCIDENT].[HoraId].&[000639],000639,266
[DMH_INCIDENT].[HoraId].&[000640],000640,289
