[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[03D03C03S03],03D03C03S03,2048
[DIVADM].[COD_SUBCIR].&[04D01C01S01],04D01C01S01,9087
[DIVADM].[COD_SUBCIR].&[04D01C01S02],04D01C01S02,1162
[DIVADM].[COD_SUBCIR].&[04D01C02S01],04D01C02S01,29439
[DIVADM].[COD_SUBCIR].&[04D01C03S01],04D01C03S01,21639
[DIVADM].[COD_SUBCIR].&[04D01C04S01],04D01C04S01,23906
[DIVADM].[COD_SUBCIR].&[04D01C05S01],04D01C05S01,21885
[DIVADM].[COD_SUBCIR].&[04D01C06S01],04D01C06S01,16411
[DIVADM].[COD_SUBCIR].&[04D01C07S01],04D01C07S01,22666
[DIVADM].[COD_SUBCIR].&[04D01C08S01],04D01C08S01,24063
[DIVADM].[COD_SUBCIR].&[04D01C09S01],04D01C09S01,2474
[DIVADM].[COD_SUBCIR].&[04D01C10S01],04D01C10S01,14428
[DIVADM].[COD_SUBCIR].&[04D01C10S02],04D01C10S02,3227
[DIVADM].[COD_SUBCIR].&[04D01C11S01],04D01C11S01,5177
[DIVADM].[COD_SUBCIR].&[04D01C12S01],04D01C12S01,1216
[DIVADM].[COD_SUBCIR].&[04D01C12S02],04D01C12S02,2520
[DIVADM].[COD_SUBCIR].&[04D01C13S01],04D01C13S01,3612
[DIVADM].[COD_SUBCIR].&[04D02C01S01],04D02C01S01,7518
[DIVADM].[COD_SUBCIR].&[04D02C01S02],04D02C01S02,2464
[DIVADM].[COD_SUBCIR].&[04D02C02S01],04D02C02S01,464
[DIVADM].[COD_SUBCIR].&[04D02C02S02],04D02C02S02,573
[DIVADM].[COD_SUBCIR].&[04D02C03S01],04D02C03S01,1227
[DIVADM].[COD_SUBCIR].&[04D02C03S02],04D02C03S02,617
[DIVADM].[COD_SUBCIR].&[04D02C04S01],04D02C04S01,13443
[DIVADM].[COD_SUBCIR].&[04D02C05S01],04D02C05S01,14419
[DIVADM].[COD_SUBCIR].&[04D02C06S01],04D02C06S01,2648
[DIVADM].[COD_SUBCIR].&[04D02C06S02],04D02C06S02,468
[DIVADM].[COD_SUBCIR].&[04D02C07S01],04D02C07S01,4812
[DIVADM].[COD_SUBCIR].&[04D03C01S01],04D03C01S01,12152
[DIVADM].[COD_SUBCIR].&[04D03C01S02],04D03C01S02,1665
[DIVADM].[COD_SUBCIR].&[04D03C02S01],04D03C02S01,238
[DIVADM].[COD_SUBCIR].&[04D03C03S01],04D03C03S01,1991
[DIVADM].[COD_SUBCIR].&[04D03C03S02],04D03C03S02,529
[DIVADM].[COD_SUBCIR].&[04D03C04S01],04D03C04S01,8124
[DIVADM].[COD_SUBCIR].&[05D01C01S01],05D01C01S01,4293
[DIVADM].[COD_SUBCIR].&[05D01C02S01],05D01C02S01,9513
[DIVADM].[COD_SUBCIR].&[05D01C03S01],05D01C03S01,11752
[DIVADM].[COD_SUBCIR].&[05D01C03S02],05D01C03S02,4299
[DIVADM].[COD_SUBCIR].&[05D01C04S01],05D01C04S01,6237
[DIVADM].[COD_SUBCIR].&[05D01C05S01],05D01C05S01,7010
[DIVADM].[COD_SUBCIR].&[05D01C06S01],05D01C06S01,2116
[DIVADM].[COD_SUBCIR].&[05D01C07S01],05D01C07S01,7778
[DIVADM].[COD_SUBCIR].&[05D01C07S02],05D01C07S02,22063
[DIVADM].[COD_SUBCIR].&[05D01C08S01],05D01C08S01,16897
[DIVADM].[COD_SUBCIR].&[05D01C08S02],05D01C08S02,2360
[DIVADM].[COD_SUBCIR].&[05D01C09S01],05D01C09S01,22258
[DIVADM].[COD_SUBCIR].&[05D01C10S01],05D01C10S01,19746
[DIVADM].[COD_SUBCIR].&[05D01C11S01],05D01C11S01,13413
[DIVADM].[COD_SUBCIR].&[05D01C12S01],05D01C12S01,11301
[DIVADM].[COD_SUBCIR].&[05D01C13S01],05D01C13S01,7873
[DIVADM].[COD_SUBCIR].&[05D01C14S01],05D01C14S01,17871
[DIVADM].[COD_SUBCIR].&[05D01C14S02],05D01C14S02,29554
[DIVADM].[COD_SUBCIR].&[05D01C15S01],05D01C15S01,35499
[DIVADM].[COD_SUBCIR].&[05D01C16S01],05D01C16S01,5071
[DIVADM].[COD_SUBCIR].&[05D01C17S01],05D01C17S01,10425
[DIVADM].[COD_SUBCIR].&[05D01C18S01],05D01C18S01,2943
[DIVADM].[COD_SUBCIR].&[05D01C18S02],05D01C18S02,11624
[DIVADM].[COD_SUBCIR].&[05D02C01S01],05D02C01S01,2885
[DIVADM].[COD_SUBCIR].&[05D02C02S01],05D02C02S01,8827
[DIVADM].[COD_SUBCIR].&[05D02C02S02],05D02C02S02,13956
[DIVADM].[COD_SUBCIR].&[05D02C03S01],05D02C03S01,22970
[DIVADM].[COD_SUBCIR].&[05D02C03S02],05D02C03S02,5243
[DIVADM].[COD_SUBCIR].&[05D03C01S01],05D03C01S01,6246
[DIVADM].[COD_SUBCIR].&[05D03C02S01],05D03C02S01,87
[DIVADM].[COD_SUBCIR].&[05D03C03S01],05D03C03S01,3815
[DIVADM].[COD_SUBCIR].&[05D03C04S01],05D03C04S01,290
[DIVADM].[COD_SUBCIR].&[05D04C01S01],05D04C01S01,6494
[DIVADM].[COD_SUBCIR].&[05D04C01S02],05D04C01S02,14724
[DIVADM].[COD_SUBCIR].&[05D04C02S01],05D04C02S01,987
[DIVADM].[COD_SUBCIR].&[05D04C03S01],05D04C03S01,1416
[DIVADM].[COD_SUBCIR].&[05D04C04S01],05D04C04S01,456
[DIVADM].[COD_SUBCIR].&[05D04C05S01],05D04C05S01,947
[DIVADM].[COD_SUBCIR].&[05D04C06S01],05D04C06S01,3489
[DIVADM].[COD_SUBCIR].&[05D04C07S01],05D04C07S01,1091
[DIVADM].[COD_SUBCIR].&[05D04C08S01],05D04C08S01,4002
[DIVADM].[COD_SUBCIR].&[05D04C09S01],05D04C09S01,31280
[DIVADM].[COD_SUBCIR].&[05D04C10S01],05D04C10S01,1900
[DIVADM].[COD_SUBCIR].&[05D04C11S01],05D04C11S01,2149
[DIVADM].[COD_SUBCIR].&[05D05C01S01],05D05C01S01,6694
[DIVADM].[COD_SUBCIR].&[05D05C02S01],05D05C02S01,713
[DIVADM].[COD_SUBCIR].&[05D05C03S01],05D05C03S01,1283
[DIVADM].[COD_SUBCIR].&[05D05C04S01],05D05C04S01,498
[DIVADM].[COD_SUBCIR].&[05D06C01S01],05D06C01S01,1836
[DIVADM].[COD_SUBCIR].&[05D06C02S01],05D06C02S01,17872
[DIVADM].[COD_SUBCIR].&[05D06C02S02],05D06C02S02,27787
[DIVADM].[COD_SUBCIR].&[05D06C02S03],05D06C02S03,986
[DIVADM].[COD_SUBCIR].&[05D06C03S01],05D06C03S01,3749
[DIVADM].[COD_SUBCIR].&[05D06C03S02],05D06C03S02,9640
[DIVADM].[COD_SUBCIR].&[05D06C04S01],05D06C04S01,2264
[DIVADM].[COD_SUBCIR].&[06D01C01S01],06D01C01S01,3140
[DIVADM].[COD_SUBCIR].&[06D01C02S01],06D01C02S01,47124
[DIVADM].[COD_SUBCIR].&[06D01C02S02],06D01C02S02,37386
[DIVADM].[COD_SUBCIR].&[06D01C02S03],06D01C02S03,30806
[DIVADM].[COD_SUBCIR].&[06D01C03S01],06D01C03S01,15563
[DIVADM].[COD_SUBCIR].&[06D01C04S01],06D01C04S01,17313
[DIVADM].[COD_SUBCIR].&[06D01C04S02],06D01C04S02,8759
