[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[AZOGUES ORIENTE 2],AZOGUES ORIENTE 2,766
[DIVADM].[NAM_SUBCIR].&[AZOGUES SUR 1],AZOGUES SUR 1,34924
[DIVADM].[NAM_SUBCIR].&[AZOGUES SUR 2],AZOGUES SUR 2,8972
[DIVADM].[NAM_SUBCIR].&[BABA 1],BABA 1,12877
[DIVADM].[NAM_SUBCIR].&[BACHILLERO 1],BACHILLERO 1,1860
[DIVADM].[NAM_SUBCIR].&[BACHILLERO 2],BACHILLERO 2,1624
[DIVADM].[NAM_SUBCIR].&[BAGATELA 1],BAGATELA 1,764
[DIVADM].[NAM_SUBCIR].&[BAHIA 1],BAHIA 1,16350
[DIVADM].[NAM_SUBCIR].&[BAHIA 2],BAHIA 2,3809
[DIVADM].[NAM_SUBCIR].&[BAJO ALTO 1],BAJO ALTO 1,26024
[DIVADM].[NAM_SUBCIR].&[BALAO 1],BALAO 1,14033
[DIVADM].[NAM_SUBCIR].&[BALAO 2],BALAO 2,473
[DIVADM].[NAM_SUBCIR].&[BALSAPAMBA 1],BALSAPAMBA 1,7418
[DIVADM].[NAM_SUBCIR].&[BALSAPAMBA 2],BALSAPAMBA 2,1064
[DIVADM].[NAM_SUBCIR].&[BALSAS 1],BALSAS 1,8955
[DIVADM].[NAM_SUBCIR].&[BALZAR CENTRO 1],BALZAR CENTRO 1,21622
[DIVADM].[NAM_SUBCIR].&[BALZAR DE VINCES 1],BALZAR DE VINCES 1,22057
[DIVADM].[NAM_SUBCIR].&[BALZAR OESTE 1],BALZAR OESTE 1,6251
[DIVADM].[NAM_SUBCIR].&[BALZAR SUR 1],BALZAR SUR 1,15773
[DIVADM].[NAM_SUBCIR].&[BANANERA NORTE 1],BANANERA NORTE 1,474
[DIVADM].[NAM_SUBCIR].&[BANANERA SUR 1],BANANERA SUR 1,871
[DIVADM].[NAM_SUBCIR].&[BAÑOS 1],BAÑOS 1,61181
[DIVADM].[NAM_SUBCIR].&[BAÑOS 2],BAÑOS 2,5128
[DIVADM].[NAM_SUBCIR].&[BARBONES 1],BARBONES 1,7672
[DIVADM].[NAM_SUBCIR].&[BARBONES 2],BARBONES 2,4307
[DIVADM].[NAM_SUBCIR].&[BARRAGANETE 1],BARRAGANETE 1,410
[DIVADM].[NAM_SUBCIR].&[BARREIRO 1],BARREIRO 1,12346
[DIVADM].[NAM_SUBCIR].&[BARRIAL BLANCO 1],BARRIAL BLANCO 1,60972
[DIVADM].[NAM_SUBCIR].&[BARRIO NUEVO 1],BARRIO NUEVO 1,26457
[DIVADM].[NAM_SUBCIR].&[BARRIO NUEVO 2],BARRIO NUEVO 2,23680
[DIVADM].[NAM_SUBCIR].&[BARRIO NUEVO 3],BARRIO NUEVO 3,25540
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR NORTE 1],BASTION POPULAR NORTE 1,12438
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR NORTE 2],BASTION POPULAR NORTE 2,11823
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR NORTE 3],BASTION POPULAR NORTE 3,12007
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR SUR 1],BASTION POPULAR SUR 1,19897
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR SUR 2],BASTION POPULAR SUR 2,18061
[DIVADM].[NAM_SUBCIR].&[BASTION POPULAR SUR 3],BASTION POPULAR SUR 3,22307
[DIVADM].[NAM_SUBCIR].&[BATALLON DEL SUBURBIO 1],BATALLON DEL SUBURBIO 1,19174
[DIVADM].[NAM_SUBCIR].&[BATALLON DEL SUBURBIO 2],BATALLON DEL SUBURBIO 2,22991
[DIVADM].[NAM_SUBCIR].&[BATALLON DEL SUBURBIO 3],BATALLON DEL SUBURBIO 3,18825
[DIVADM].[NAM_SUBCIR].&[BATALLON DEL SUBURBIO 4],BATALLON DEL SUBURBIO 4,17552
[DIVADM].[NAM_SUBCIR].&[BECHE 1],BECHE 1,1040
[DIVADM].[NAM_SUBCIR].&[BEJUCO 1],BEJUCO 1,7455
[DIVADM].[NAM_SUBCIR].&[BEJUCO 2],BEJUCO 2,606
[DIVADM].[NAM_SUBCIR].&[BEJUQUILLO 1],BEJUQUILLO 1,2244
[DIVADM].[NAM_SUBCIR].&[BELISARIO QUEVEDO 1],BELISARIO QUEVEDO 1,5071
[DIVADM].[NAM_SUBCIR].&[BELLA MARIA 1],BELLA MARIA 1,1667
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 1],BELLAVISTA 1,48158
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 2],BELLAVISTA 2,18388
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 3],BELLAVISTA 3,6831
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 4],BELLAVISTA 4,25767
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 5],BELLAVISTA 5,14905
