[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID].&[2.4897E4],24897,11736
[DIVADM].[OBJECTID].&[2.4898E4],24898,22057
[DIVADM].[OBJECTID].&[2.4899E4],24899,1276
[DIVADM].[OBJECTID].&[2.49E4],24900,7731
[DIVADM].[OBJECTID].&[2.4901E4],24901,6907
[DIVADM].[OBJECTID].&[2.4902E4],24902,2830
[DIVADM].[OBJECTID].&[2.4903E4],24903,15770
[DIVADM].[OBJECTID].&[2.4904E4],24904,20675
[DIVADM].[OBJECTID].&[2.4905E4],24905,3503
[DIVADM].[OBJECTID].&[2.4906E4],24906,349
[DIVADM].[OBJECTID].&[2.4907E4],24907,9280
[DIVADM].[OBJECTID].&[2.4908E4],24908,2853
[DIVADM].[OBJECTID].&[2.4909E4],24909,5157
[DIVADM].[OBJECTID].&[2.491E4],24910,21304
[DIVADM].[OBJECTID].&[2.4911E4],24911,688
[DIVADM].[OBJECTID].&[2.4912E4],24912,4344
[DIVADM].[OBJECTID].&[2.4913E4],24913,15465
[DIVADM].[OBJECTID].&[2.4914E4],24914,6272
[DIVADM].[OBJECTID].&[2.4915E4],24915,18513
[DIVADM].[OBJECTID].&[2.4916E4],24916,1107
[DIVADM].[OBJECTID].&[2.4917E4],24917,4903
[DIVADM].[OBJECTID].&[2.4918E4],24918,72792
[DIVADM].[OBJECTID].&[2.4919E4],24919,16004
[DIVADM].[OBJECTID].&[2.492E4],24920,1515
[DIVADM].[OBJECTID].&[2.4921E4],24921,5601
[DIVADM].[OBJECTID].&[2.4922E4],24922,15774
[DIVADM].[OBJECTID].&[2.4923E4],24923,8801
[DIVADM].[OBJECTID].&[2.4924E4],24924,7585
[DIVADM].[OBJECTID].&[2.4925E4],24925,9697
[DIVADM].[OBJECTID].&[2.4926E4],24926,35591
[DIVADM].[OBJECTID].&[2.4927E4],24927,8248
[DIVADM].[OBJECTID].&[2.4928E4],24928,474
[DIVADM].[OBJECTID].&[2.4929E4],24929,3611
[DIVADM].[OBJECTID].&[2.493E4],24930,3726
[DIVADM].[OBJECTID].&[2.4931E4],24931,448
[DIVADM].[OBJECTID].&[2.4932E4],24932,17187
[DIVADM].[OBJECTID].&[2.4933E4],24933,12346
[DIVADM].[OBJECTID].&[2.4934E4],24934,16742
