[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[3.87116181105E3],"3871,16181105",54019
[DIVADM].[SHAPE_LENG].&[3.87390167369E3],"3873,90167369",21236
[DIVADM].[SHAPE_LENG].&[3.87651659938E3],"3876,51659938",25941
[DIVADM].[SHAPE_LENG].&[3.88090685701E3],"3880,90685701",10857
[DIVADM].[SHAPE_LENG].&[3.89453443528E3],"3894,53443528",6705
[DIVADM].[SHAPE_LENG].&[3.9096856129E3],"3909,6856129",15003
[DIVADM].[SHAPE_LENG].&[3.91032183386E3],"3910,32183386",38594
[DIVADM].[SHAPE_LENG].&[3.91779017303E3],"3917,79017303",44109
[DIVADM].[SHAPE_LENG].&[3.93209958183E3],"3932,09958183",61572
[DIVADM].[SHAPE_LENG].&[3.9339373419E3],"3933,9373419",20350
[DIVADM].[SHAPE_LENG].&[3.93572660963E3],"3935,72660963",10976
[DIVADM].[SHAPE_LENG].&[3.93839020095E3],"3938,39020095",18905
[DIVADM].[SHAPE_LENG].&[3.94303090416E3],"3943,03090416",12007
[DIVADM].[SHAPE_LENG].&[3.95122011329E3],"3951,22011329",17510
[DIVADM].[SHAPE_LENG].&[3.95139159869E3],"3951,39159869",20464
[DIVADM].[SHAPE_LENG].&[3.95723609614E3],"3957,23609614",6882
[DIVADM].[SHAPE_LENG].&[3.97417956134E3],"3974,17956134",20501
[DIVADM].[SHAPE_LENG].&[3.9873793247E3],"3987,3793247",40136
[DIVADM].[SHAPE_LENG].&[3.98867677288E3],"3988,67677288",26560
[DIVADM].[SHAPE_LENG].&[3.99030390778E3],"3990,30390778",22262
[DIVADM].[SHAPE_LENG].&[3.99725894724E3],"3997,25894724",21815
[DIVADM].[SHAPE_LENG].&[4.00737025389E3],"4007,37025389",5897
[DIVADM].[SHAPE_LENG].&[4.01754552213E3],"4017,54552213",22720
[DIVADM].[SHAPE_LENG].&[4.02354628886E3],"4023,54628886",29554
[DIVADM].[SHAPE_LENG].&[4.02725985475E3],"4027,25985475",10327
[DIVADM].[SHAPE_LENG].&[4.05130978992E3],"4051,30978992",9976
[DIVADM].[SHAPE_LENG].&[4.06588648534E3],"4065,88648534",30351
[DIVADM].[SHAPE_LENG].&[4.08486378272E3],"4084,86378272",16226
[DIVADM].[SHAPE_LENG].&[4.08609086939E3],"4086,09086939",21106
[DIVADM].[SHAPE_LENG].&[4.08872503615E3],"4088,72503615",23943
[DIVADM].[SHAPE_LENG].&[4.08979226322E3],"4089,79226322",5387
[DIVADM].[SHAPE_LENG].&[4.0942828782E3],"4094,2828782",11881
[DIVADM].[SHAPE_LENG].&[4.10215616288E3],"4102,15616288",17938
[DIVADM].[SHAPE_LENG].&[4.10631535086E3],"4106,31535086",14106
[DIVADM].[SHAPE_LENG].&[4.11260722426E3],"4112,60722426",33388
[DIVADM].[SHAPE_LENG].&[4.11347453275E3],"4113,47453275",31399
[DIVADM].[SHAPE_LENG].&[4.11413763065E3],"4114,13763065",12346
[DIVADM].[SHAPE_LENG].&[4.11419401716E3],"4114,19401716",21760
[DIVADM].[SHAPE_LENG].&[4.11787452089E3],"4117,87452089",18192
[DIVADM].[SHAPE_LENG].&[4.12133140481E3],"4121,33140481",11830
[DIVADM].[SHAPE_LENG].&[4.12169646872E3],"4121,69646872",18661
[DIVADM].[SHAPE_LENG].&[4.13448087943E3],"4134,48087943",28041
[DIVADM].[SHAPE_LENG].&[4.14446706779E3],"4144,46706779",13047
[DIVADM].[SHAPE_LENG].&[4.14648765147E3],"4146,48765147",21257
[DIVADM].[SHAPE_LENG].&[4.17297635978E3],"4172,97635978",15887
[DIVADM].[SHAPE_LENG].&[4.17787615682E3],"4177,87615682",20473
[DIVADM].[SHAPE_LENG].&[4.19222943961E3],"4192,22943961",9917
[DIVADM].[SHAPE_LENG].&[4.19338314597E3],"4193,38314597",4850
[DIVADM].[SHAPE_LENG].&[4.19789494495E3],"4197,89494495",34530
[DIVADM].[SHAPE_LENG].&[4.21914776433E3],"4219,14776433",11299
[DIVADM].[SHAPE_LENG].&[4.22223264947E3],"4222,23264947",12962
[DIVADM].[SHAPE_LENG].&[4.22686566573E3],"4226,86566573",5322
[DIVADM].[SHAPE_LENG].&[4.22859836804E3],"4228,59836804",12486
[DIVADM].[SHAPE_LENG].&[4.25531701658E3],"4255,31701658",10333
[DIVADM].[SHAPE_LENG].&[4.25588225411E3],"4255,88225411",9369
[DIVADM].[SHAPE_LENG].&[4.25592830109E3],"4255,92830109",33721
[DIVADM].[SHAPE_LENG].&[4.27200758684E3],"4272,00758684",6806
[DIVADM].[SHAPE_LENG].&[4.28178358925E3],"4281,78358925",9878
[DIVADM].[SHAPE_LENG].&[4.28229185603E3],"4282,29185603",20742
[DIVADM].[SHAPE_LENG].&[4.28263550302E3],"4282,63550302",38505
[DIVADM].[SHAPE_LENG].&[4.29865264379E3],"4298,65264379",24271
[DIVADM].[SHAPE_LENG].&[4.31293543293E3],"4312,93543293",5822
[DIVADM].[SHAPE_LENG].&[4.32983431628E3],"4329,83431628",14113
[DIVADM].[SHAPE_LENG].&[4.35203824054E3],"4352,03824054",12933
[DIVADM].[SHAPE_LENG].&[4.35626046077E3],"4356,26046077",566
