[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[247],247,14023
[DIVADM].[OBJECTID_1].&[248],248,2045
[DIVADM].[OBJECTID_1].&[249],249,2633
[DIVADM].[OBJECTID_1].&[250],250,9387
[DIVADM].[OBJECTID_1].&[251],251,11378
[DIVADM].[OBJECTID_1].&[252],252,16363
[DIVADM].[OBJECTID_1].&[253],253,15440
[DIVADM].[OBJECTID_1].&[254],254,3016
[DIVADM].[OBJECTID_1].&[255],255,26315
[DIVADM].[OBJECTID_1].&[256],256,1543
[DIVADM].[OBJECTID_1].&[257],257,6258
[DIVADM].[OBJECTID_1].&[258],258,6374
[DIVADM].[OBJECTID_1].&[259],259,17438
[DIVADM].[OBJECTID_1].&[260],260,1306
[DIVADM].[OBJECTID_1].&[261],261,22082
[DIVADM].[OBJECTID_1].&[262],262,1983
[DIVADM].[OBJECTID_1].&[263],263,3301
[DIVADM].[OBJECTID_1].&[264],264,11748
[DIVADM].[OBJECTID_1].&[265],265,5322
[DIVADM].[OBJECTID_1].&[266],266,22764
[DIVADM].[OBJECTID_1].&[267],267,34747
[DIVADM].[OBJECTID_1].&[268],268,21594
[DIVADM].[OBJECTID_1].&[269],269,14313
[DIVADM].[OBJECTID_1].&[270],270,3688
[DIVADM].[OBJECTID_1].&[271],271,764
[DIVADM].[OBJECTID_1].&[272],272,1216
[DIVADM].[OBJECTID_1].&[273],273,658
[DIVADM].[OBJECTID_1].&[274],274,1120
[DIVADM].[OBJECTID_1].&[275],275,14101
[DIVADM].[OBJECTID_1].&[276],276,7295
[DIVADM].[OBJECTID_1].&[277],277,11736
[DIVADM].[OBJECTID_1].&[278],278,22057
[DIVADM].[OBJECTID_1].&[279],279,1276
[DIVADM].[OBJECTID_1].&[280],280,7731
[DIVADM].[OBJECTID_1].&[281],281,6907
[DIVADM].[OBJECTID_1].&[282],282,2830
[DIVADM].[OBJECTID_1].&[283],283,15770
[DIVADM].[OBJECTID_1].&[284],284,20675
[DIVADM].[OBJECTID_1].&[285],285,3503
[DIVADM].[OBJECTID_1].&[286],286,349
[DIVADM].[OBJECTID_1].&[287],287,9280
[DIVADM].[OBJECTID_1].&[288],288,2853
[DIVADM].[OBJECTID_1].&[289],289,5157
[DIVADM].[OBJECTID_1].&[290],290,21304
[DIVADM].[OBJECTID_1].&[291],291,688
[DIVADM].[OBJECTID_1].&[292],292,4344
[DIVADM].[OBJECTID_1].&[293],293,15465
[DIVADM].[OBJECTID_1].&[294],294,6272
[DIVADM].[OBJECTID_1].&[295],295,18513
[DIVADM].[OBJECTID_1].&[296],296,1107
[DIVADM].[OBJECTID_1].&[297],297,4903
[DIVADM].[OBJECTID_1].&[298],298,72792
[DIVADM].[OBJECTID_1].&[299],299,16004
[DIVADM].[OBJECTID_1].&[300],300,1515
