[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[209],209,2636
[DIVPOL].[OBJECTID_1].&[210],210,1818
[DIVPOL].[OBJECTID_1].&[211],211,3128
[DIVPOL].[OBJECTID_1].&[212],212,475461
[DIVPOL].[OBJECTID_1].&[213],213,12436
[DIVPOL].[OBJECTID_1].&[214],214,1490
[DIVPOL].[OBJECTID_1].&[215],215,2953
[DIVPOL].[OBJECTID_1].&[216],216,8751
[DIVPOL].[OBJECTID_1].&[217],217,4252
[DIVPOL].[OBJECTID_1].&[218],218,4800
[DIVPOL].[OBJECTID_1].&[219],219,31808
[DIVPOL].[OBJECTID_1].&[220],220,41257
[DIVPOL].[OBJECTID_1].&[221],221,2104
[DIVPOL].[OBJECTID_1].&[222],222,3510
[DIVPOL].[OBJECTID_1].&[223],223,8830
[DIVPOL].[OBJECTID_1].&[224],224,22092
[DIVPOL].[OBJECTID_1].&[225],225,993
[DIVPOL].[OBJECTID_1].&[226],226,1074
[DIVPOL].[OBJECTID_1].&[227],227,2597
[DIVPOL].[OBJECTID_1].&[228],228,643
[DIVPOL].[OBJECTID_1].&[229],229,158
[DIVPOL].[OBJECTID_1].&[230],230,5203
[DIVPOL].[OBJECTID_1].&[231],231,300
[DIVPOL].[OBJECTID_1].&[232],232,62
[DIVPOL].[OBJECTID_1].&[233],233,97864
[DIVPOL].[OBJECTID_1].&[234],234,2712
[DIVPOL].[OBJECTID_1].&[235],235,4084
[DIVPOL].[OBJECTID_1].&[236],236,4774
[DIVPOL].[OBJECTID_1].&[237],237,78
[DIVPOL].[OBJECTID_1].&[238],238,4589
[DIVPOL].[OBJECTID_1].&[239],239,7875
[DIVPOL].[OBJECTID_1].&[240],240,10031
[DIVPOL].[OBJECTID_1].&[241],241,1633
[DIVPOL].[OBJECTID_1].&[242],242,238
[DIVPOL].[OBJECTID_1].&[243],243,16352
[DIVPOL].[OBJECTID_1].&[244],244,319
[DIVPOL].[OBJECTID_1].&[245],245,172
[DIVPOL].[OBJECTID_1].&[246],246,91
[DIVPOL].[OBJECTID_1].&[247],247,9422
[DIVPOL].[OBJECTID_1].&[248],248,924
[DIVPOL].[OBJECTID_1].&[249],249,1051
[DIVPOL].[OBJECTID_1].&[250],250,2307
[DIVPOL].[OBJECTID_1].&[251],251,2982
[DIVPOL].[OBJECTID_1].&[252],252,2391
[DIVPOL].[OBJECTID_1].&[253],253,2118
[DIVPOL].[OBJECTID_1].&[254],254,1262
[DIVPOL].[OBJECTID_1].&[255],255,545
[DIVPOL].[OBJECTID_1].&[256],256,2406
[DIVPOL].[OBJECTID_1].&[257],257,2897
[DIVPOL].[OBJECTID_1].&[258],258,1451
[DIVPOL].[OBJECTID_1].&[259],259,11330
[DIVPOL].[OBJECTID_1].&[260],260,8114
[DIVPOL].[OBJECTID_1].&[261],261,1140
[DIVPOL].[OBJECTID_1].&[262],262,4427
[DIVPOL].[OBJECTID_1].&[263],263,2284
[DIVPOL].[OBJECTID_1].&[264],264,74
[DIVPOL].[OBJECTID_1].&[265],265,62
[DIVPOL].[OBJECTID_1].&[266],266,854
[DIVPOL].[OBJECTID_1].&[267],267,258
[DIVPOL].[OBJECTID_1].&[268],268,5740
[DIVPOL].[OBJECTID_1].&[269],269,250
[DIVPOL].[OBJECTID_1].&[270],270,725
[DIVPOL].[OBJECTID_1].&[271],271,2823
[DIVPOL].[OBJECTID_1].&[272],272,779
[DIVPOL].[OBJECTID_1].&[273],273,21
[DIVPOL].[OBJECTID_1].&[274],274,2416
[DIVPOL].[OBJECTID_1].&[275],275,116974
[DIVPOL].[OBJECTID_1].&[276],276,1228
[DIVPOL].[OBJECTID_1].&[277],277,1410
[DIVPOL].[OBJECTID_1].&[278],278,2004
[DIVPOL].[OBJECTID_1].&[279],279,1214
[DIVPOL].[OBJECTID_1].&[280],280,349
[DIVPOL].[OBJECTID_1].&[281],281,15
[DIVPOL].[OBJECTID_1].&[282],282,75
[DIVPOL].[OBJECTID_1].&[283],283,302
[DIVPOL].[OBJECTID_1].&[284],284,6643
[DIVPOL].[OBJECTID_1].&[285],285,12128
[DIVPOL].[OBJECTID_1].&[286],286,1030
[DIVPOL].[OBJECTID_1].&[287],287,2423
[DIVPOL].[OBJECTID_1].&[288],288,1349
[DIVPOL].[OBJECTID_1].&[289],289,4309
[DIVPOL].[OBJECTID_1].&[290],290,2687
[DIVPOL].[OBJECTID_1].&[291],291,15603
[DIVPOL].[OBJECTID_1].&[292],292,2917
[DIVPOL].[OBJECTID_1].&[293],293,719
[DIVPOL].[OBJECTID_1].&[294],294,4475
[DIVPOL].[OBJECTID_1].&[295],295,570
[DIVPOL].[OBJECTID_1].&[296],296,43887
[DIVPOL].[OBJECTID_1].&[297],297,45644
[DIVPOL].[OBJECTID_1].&[298],298,307
[DIVPOL].[OBJECTID_1].&[299],299,14347
[DIVPOL].[OBJECTID_1].&[300],300,335428
[DIVPOL].[OBJECTID_1].&[301],301,156923
[DIVPOL].[OBJECTID_1].&[302],302,69271
[DIVPOL].[OBJECTID_1].&[303],303,218
[DIVPOL].[OBJECTID_1].&[304],304,6504
[DIVPOL].[OBJECTID_1].&[305],305,26669
[DIVPOL].[OBJECTID_1].&[306],306,1190
[DIVPOL].[OBJECTID_1].&[307],307,6877
[DIVPOL].[OBJECTID_1].&[308],308,26488
[DIVPOL].[OBJECTID_1].&[309],309,8044
[DIVPOL].[OBJECTID_1].&[310],310,22218
[DIVPOL].[OBJECTID_1].&[311],311,6010
[DIVPOL].[OBJECTID_1].&[312],312,1374
[DIVPOL].[OBJECTID_1].&[313],313,8135
[DIVPOL].[OBJECTID_1].&[314],314,21588
[DIVPOL].[OBJECTID_1].&[315],315,3825
[DIVPOL].[OBJECTID_1].&[316],316,2181
[DIVPOL].[OBJECTID_1].&[317],317,1048
[DIVPOL].[OBJECTID_1].&[318],318,35460
[DIVPOL].[OBJECTID_1].&[319],319,21729
[DIVPOL].[OBJECTID_1].&[320],320,51986
[DIVPOL].[OBJECTID_1].&[321],321,1771
[DIVPOL].[OBJECTID_1].&[322],322,24450
[DIVPOL].[OBJECTID_1].&[323],323,64561
[DIVPOL].[OBJECTID_1].&[324],324,2049
[DIVPOL].[OBJECTID_1].&[325],325,13723
[DIVPOL].[OBJECTID_1].&[326],326,105353
[DIVPOL].[OBJECTID_1].&[327],327,38004
[DIVPOL].[OBJECTID_1].&[328],328,6677
[DIVPOL].[OBJECTID_1].&[329],329,63052
[DIVPOL].[OBJECTID_1].&[330],330,6002
[DIVPOL].[OBJECTID_1].&[331],331,4973
[DIVPOL].[OBJECTID_1].&[332],332,1680
[DIVPOL].[OBJECTID_1].&[333],333,1325
[DIVPOL].[OBJECTID_1].&[334],334,4001
[DIVPOL].[OBJECTID_1].&[335],335,75523
[DIVPOL].[OBJECTID_1].&[336],336,28499
[DIVPOL].[OBJECTID_1].&[337],337,22121
[DIVPOL].[OBJECTID_1].&[338],338,1794
[DIVPOL].[OBJECTID_1].&[339],339,13505
[DIVPOL].[OBJECTID_1].&[340],340,23330
[DIVPOL].[OBJECTID_1].&[341],341,24630
[DIVPOL].[OBJECTID_1].&[342],342,2231
[DIVPOL].[OBJECTID_1].&[343],343,4487
[DIVPOL].[OBJECTID_1].&[344],344,2598
[DIVPOL].[OBJECTID_1].&[345],345,1909
[DIVPOL].[OBJECTID_1].&[346],346,8528
[DIVPOL].[OBJECTID_1].&[347],347,381
[DIVPOL].[OBJECTID_1].&[348],348,9474
[DIVPOL].[OBJECTID_1].&[349],349,4923
[DIVPOL].[OBJECTID_1].&[350],350,9786
[DIVPOL].[OBJECTID_1].&[351],351,12211
[DIVPOL].[OBJECTID_1].&[352],352,2567
[DIVPOL].[OBJECTID_1].&[353],353,16092
[DIVPOL].[OBJECTID_1].&[354],354,1443
[DIVPOL].[OBJECTID_1].&[355],355,25094
[DIVPOL].[OBJECTID_1].&[356],356,28007
[DIVPOL].[OBJECTID_1].&[357],357,4164
[DIVPOL].[OBJECTID_1].&[358],358,4390
[DIVPOL].[OBJECTID_1].&[359],359,2664
[DIVPOL].[OBJECTID_1].&[360],360,4716
[DIVPOL].[OBJECTID_1].&[361],361,3581
[DIVPOL].[OBJECTID_1].&[362],362,11759
[DIVPOL].[OBJECTID_1].&[363],363,1891
[DIVPOL].[OBJECTID_1].&[364],364,28120
[DIVPOL].[OBJECTID_1].&[365],365,16034
[DIVPOL].[OBJECTID_1].&[366],366,5128
[DIVPOL].[OBJECTID_1].&[367],367,4182
[DIVPOL].[OBJECTID_1].&[368],368,40750
[DIVPOL].[OBJECTID_1].&[369],369,365
[DIVPOL].[OBJECTID_1].&[370],370,2346
[DIVPOL].[OBJECTID_1].&[371],371,1428
[DIVPOL].[OBJECTID_1].&[372],372,5201
[DIVPOL].[OBJECTID_1].&[373],373,12040
[DIVPOL].[OBJECTID_1].&[374],374,7249
[DIVPOL].[OBJECTID_1].&[375],375,888
[DIVPOL].[OBJECTID_1].&[376],376,10511
[DIVPOL].[OBJECTID_1].&[377],377,372
[DIVPOL].[OBJECTID_1].&[378],378,727
[DIVPOL].[OBJECTID_1].&[379],379,732
[DIVPOL].[OBJECTID_1].&[380],380,10821
[DIVPOL].[OBJECTID_1].&[381],381,1252
[DIVPOL].[OBJECTID_1].&[382],382,1034
[DIVPOL].[OBJECTID_1].&[383],383,39887
[DIVPOL].[OBJECTID_1].&[384],384,2386
[DIVPOL].[OBJECTID_1].&[385],385,723
[DIVPOL].[OBJECTID_1].&[386],386,798
[DIVPOL].[OBJECTID_1].&[387],387,1066
[DIVPOL].[OBJECTID_1].&[388],388,1163
[DIVPOL].[OBJECTID_1].&[389],389,3645
[DIVPOL].[OBJECTID_1].&[390],390,3503
[DIVPOL].[OBJECTID_1].&[391],391,3832
[DIVPOL].[OBJECTID_1].&[392],392,26789
[DIVPOL].[OBJECTID_1].&[393],393,146
[DIVPOL].[OBJECTID_1].&[394],394,980
[DIVPOL].[OBJECTID_1].&[395],395,587
