[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[6.5119898E-1],"0,65119898",22801
[DIVADM].[AREAKM].&[6.51317E-1],"0,651317",18661
[DIVADM].[AREAKM].&[6.5180898E-1],"0,65180898",5897
[DIVADM].[AREAKM].&[6.5283799E-1],"0,65283799",12346
[DIVADM].[AREAKM].&[6.5524101E-1],"0,65524101",38594
[DIVADM].[AREAKM].&[6.5550101E-1],"0,65550101",16204
[DIVADM].[AREAKM].&[6.5592903E-1],"0,65592903",12893
[DIVADM].[AREAKM].&[6.5612602E-1],"0,65612602",4677
[DIVADM].[AREAKM].&[6.5848303E-1],"0,65848303",9369
[DIVADM].[AREAKM].&[6.6167599E-1],"0,66167599",30351
[DIVADM].[AREAKM].&[6.6194201E-1],"0,66194201",31468
[DIVADM].[AREAKM].&[6.6228998E-1],"0,66228998",3911
[DIVADM].[AREAKM].&[6.6453898E-1],"0,66453898",21997
[DIVADM].[AREAKM].&[6.6481799E-1],"0,66481799",38505
[DIVADM].[AREAKM].&[6.6587901E-1],"0,66587901",32094
[DIVADM].[AREAKM].&[6.6649699E-1],"0,66649699",35448
[DIVADM].[AREAKM].&[6.6806602E-1],"0,66806602",15003
[DIVADM].[AREAKM].&[6.6999298E-1],"0,66999298",7542
[DIVADM].[AREAKM].&[6.7035198E-1],"0,67035198",11791
[DIVADM].[AREAKM].&[6.7105699E-1],"0,67105699",17938
[DIVADM].[AREAKM].&[6.71538E-1],"0,671538",18299
[DIVADM].[AREAKM].&[6.72189E-1],"0,672189",24063
[DIVADM].[AREAKM].&[6.75955E-1],"0,675955",31562
[DIVADM].[AREAKM].&[6.7729098E-1],"0,67729098",37260
[DIVADM].[AREAKM].&[6.7876899E-1],"0,67876899",31438
[DIVADM].[AREAKM].&[6.8039602E-1],"0,68039602",13376
[DIVADM].[AREAKM].&[6.8141299E-1],"0,68141299",31913
[DIVADM].[AREAKM].&[6.8371898E-1],"0,68371898",6806
[DIVADM].[AREAKM].&[6.8396002E-1],"0,68396002",13967
[DIVADM].[AREAKM].&[6.8845499E-1],"0,68845499",8653
[DIVADM].[AREAKM].&[6.89511E-1],"0,689511",15382
[DIVADM].[AREAKM].&[6.9324303E-1],"0,69324303",10327
[DIVADM].[AREAKM].&[6.94175E-1],"0,694175",47150
[DIVADM].[AREAKM].&[6.9582802E-1],"0,69582802",22991
[DIVADM].[AREAKM].&[6.96042E-1],"0,696042",17402
[DIVADM].[AREAKM].&[6.9642198E-1],"0,69642198",24035
[DIVADM].[AREAKM].&[6.9684303E-1],"0,69684303",54019
[DIVADM].[AREAKM].&[6.9863498E-1],"0,69863498",13436
[DIVADM].[AREAKM].&[6.9870102E-1],"0,69870102",8389
[DIVADM].[AREAKM].&[7.0151699E-1],"0,70151699",6872
[DIVADM].[AREAKM].&[7.0302403E-1],"0,70302403",5822
[DIVADM].[AREAKM].&[7.0414603E-1],"0,70414603",12007
[DIVADM].[AREAKM].&[7.04153E-1],"0,704153",10127
[DIVADM].[AREAKM].&[7.0417899E-1],"0,70417899",20786
[DIVADM].[AREAKM].&[7.06204E-1],"0,706204",10036
[DIVADM].[AREAKM].&[7.0717198E-1],"0,70717198",23397
[DIVADM].[AREAKM].&[7.0873201E-1],"0,70873201",21236
