[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[SHAPE_LENG].&[3.6368692E-1],"0,36368692",1903
[DIVPOL].[SHAPE_LENG].&[3.6396723E-1],"0,36396723",1368
[DIVPOL].[SHAPE_LENG].&[3.6577794E-1],"0,36577794",220
[DIVPOL].[SHAPE_LENG].&[3.6617792E-1],"0,36617792",4154
[DIVPOL].[SHAPE_LENG].&[3.6652857E-1],"0,36652857",7672
[DIVPOL].[SHAPE_LENG].&[3.6654528E-1],"0,36654528",268
[DIVPOL].[SHAPE_LENG].&[3.6668665E-1],"0,36668665",5132
[DIVPOL].[SHAPE_LENG].&[3.67332E-1],"0,367332",2092
[DIVPOL].[SHAPE_LENG].&[3.6811654E-1],"0,36811654",564
[DIVPOL].[SHAPE_LENG].&[3.6883002E-1],"0,36883002",707
[DIVPOL].[SHAPE_LENG].&[3.691729E-1],"0,3691729",3726
[DIVPOL].[SHAPE_LENG].&[3.6920627E-1],"0,36920627",1875
[DIVPOL].[SHAPE_LENG].&[3.7018321E-1],"0,37018321",691
[DIVPOL].[SHAPE_LENG].&[3.702911E-1],"0,3702911",630
[DIVPOL].[SHAPE_LENG].&[3.7190653E-1],"0,37190653",2229
[DIVPOL].[SHAPE_LENG].&[3.7194986E-1],"0,37194986",485
[DIVPOL].[SHAPE_LENG].&[3.73295E-1],"0,373295",478
[DIVPOL].[SHAPE_LENG].&[3.7349114E-1],"0,37349114",2986
[DIVPOL].[SHAPE_LENG].&[3.7667444E-1],"0,37667444",377
[DIVPOL].[SHAPE_LENG].&[3.7668232E-1],"0,37668232",2231
[DIVPOL].[SHAPE_LENG].&[3.7719411E-1],"0,37719411",1014
[DIVPOL].[SHAPE_LENG].&[3.7786067E-1],"0,37786067",4573
[DIVPOL].[SHAPE_LENG].&[3.7855525E-1],"0,37855525",889
[DIVPOL].[SHAPE_LENG].&[3.7890715E-1],"0,37890715",18362
[DIVPOL].[SHAPE_LENG].&[3.7928184E-1],"0,37928184",498
[DIVPOL].[SHAPE_LENG].&[3.8015844E-1],"0,38015844",9311
[DIVPOL].[SHAPE_LENG].&[3.8085208E-1],"0,38085208",752
[DIVPOL].[SHAPE_LENG].&[3.8086642E-1],"0,38086642",1306
[DIVPOL].[SHAPE_LENG].&[3.8107788E-1],"0,38107788",3118
[DIVPOL].[SHAPE_LENG].&[3.8138003E-1],"0,38138003",7647
[DIVPOL].[SHAPE_LENG].&[3.8230465E-1],"0,38230465",2819
[DIVPOL].[SHAPE_LENG].&[3.8235277E-1],"0,38235277",8047
[DIVPOL].[SHAPE_LENG].&[3.8281674E-1],"0,38281674",349
[DIVPOL].[SHAPE_LENG].&[3.8291808E-1],"0,38291808",8430
[DIVPOL].[SHAPE_LENG].&[3.8336054E-1],"0,38336054",770
[DIVPOL].[SHAPE_LENG].&[3.8589299E-1],"0,38589299",266
[DIVPOL].[SHAPE_LENG].&[3.8595909E-1],"0,38595909",475
[DIVPOL].[SHAPE_LENG].&[3.8611484E-1],"0,38611484",1051
[DIVPOL].[SHAPE_LENG].&[3.8712303E-1],"0,38712303",1284
[DIVPOL].[SHAPE_LENG].&[3.8939755E-1],"0,38939755",1512
[DIVPOL].[SHAPE_LENG].&[3.9180457E-1],"0,39180457",4818
[DIVPOL].[SHAPE_LENG].&[3.953503E-1],"0,3953503",4539
[DIVPOL].[SHAPE_LENG].&[3.9607486E-1],"0,39607486",576
[DIVPOL].[SHAPE_LENG].&[3.965275E-1],"0,3965275",663
[DIVPOL].[SHAPE_LENG].&[3.9685609E-1],"0,39685609",5201
[DIVPOL].[SHAPE_LENG].&[3.974447E-1],"0,3974447",640
[DIVPOL].[SHAPE_LENG].&[3.9766511E-1],"0,39766511",397
[DIVPOL].[SHAPE_LENG].&[3.9973215E-1],"0,39973215",10511
[DIVPOL].[SHAPE_LENG].&[4.0165782E-1],"0,40165782",4210
[DIVPOL].[SHAPE_LENG].&[4.0175595E-1],"0,40175595",1656
[DIVPOL].[SHAPE_LENG].&[4.0207236E-1],"0,40207236",533
[DIVPOL].[SHAPE_LENG].&[4.0267196E-1],"0,40267196",6126
[DIVPOL].[SHAPE_LENG].&[4.0312046E-1],"0,40312046",1265
[DIVPOL].[SHAPE_LENG].&[4.0332964E-1],"0,40332964",462
[DIVPOL].[SHAPE_LENG].&[4.0350262E-1],"0,40350262",1624
[DIVPOL].[SHAPE_LENG].&[4.0473609E-1],"0,40473609",322
[DIVPOL].[SHAPE_LENG].&[4.0573779E-1],"0,40573779",3256
[DIVPOL].[SHAPE_LENG].&[4.0636075E-1],"0,40636075",71846
[DIVPOL].[SHAPE_LENG].&[4.0675957E-1],"0,40675957",367
[DIVPOL].[SHAPE_LENG].&[4.0702213E-1],"0,40702213",618
[DIVPOL].[SHAPE_LENG].&[4.0791796E-1],"0,40791796",45644
[DIVPOL].[SHAPE_LENG].&[4.0804417E-1],"0,40804417",1771
[DIVPOL].[SHAPE_LENG].&[4.0814583E-1],"0,40814583",22092
[DIVPOL].[SHAPE_LENG].&[4.0845165E-1],"0,40845165",3224
[DIVPOL].[SHAPE_LENG].&[4.0990715E-1],"0,40990715",3840
[DIVPOL].[SHAPE_LENG].&[4.1083553E-1],"0,41083553",420
[DIVPOL].[SHAPE_LENG].&[4.1108499E-1],"0,41108499",8518
[DIVPOL].[SHAPE_LENG].&[4.1145126E-1],"0,41145126",12142
[DIVPOL].[SHAPE_LENG].&[4.1150528E-1],"0,41150528",1171
[DIVPOL].[SHAPE_LENG].&[4.1315924E-1],"0,41315924",3248
