[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID].&[3.55E2],355,25094
[DIVPOL].[OBJECTID].&[3.56E2],356,28007
[DIVPOL].[OBJECTID].&[3.57E2],357,4164
[DIVPOL].[OBJECTID].&[3.58E2],358,4390
[DIVPOL].[OBJECTID].&[3.59E2],359,2664
[DIVPOL].[OBJECTID].&[3.6E2],360,4716
[DIVPOL].[OBJECTID].&[3.61E2],361,3581
[DIVPOL].[OBJECTID].&[3.62E2],362,11759
[DIVPOL].[OBJECTID].&[3.63E2],363,1891
[DIVPOL].[OBJECTID].&[3.64E2],364,28120
[DIVPOL].[OBJECTID].&[3.65E2],365,16034
[DIVPOL].[OBJECTID].&[3.66E2],366,5128
[DIVPOL].[OBJECTID].&[3.67E2],367,4182
[DIVPOL].[OBJECTID].&[3.68E2],368,40750
[DIVPOL].[OBJECTID].&[3.69E2],369,365
[DIVPOL].[OBJECTID].&[3.7E2],370,2346
[DIVPOL].[OBJECTID].&[3.71E2],371,1428
[DIVPOL].[OBJECTID].&[3.72E2],372,5201
[DIVPOL].[OBJECTID].&[3.73E2],373,12040
[DIVPOL].[OBJECTID].&[3.74E2],374,7249
[DIVPOL].[OBJECTID].&[3.75E2],375,888
[DIVPOL].[OBJECTID].&[3.76E2],376,10511
[DIVPOL].[OBJECTID].&[3.77E2],377,372
[DIVPOL].[OBJECTID].&[3.78E2],378,727
[DIVPOL].[OBJECTID].&[3.79E2],379,732
[DIVPOL].[OBJECTID].&[3.8E2],380,10821
[DIVPOL].[OBJECTID].&[3.81E2],381,1252
[DIVPOL].[OBJECTID].&[3.82E2],382,1034
[DIVPOL].[OBJECTID].&[3.83E2],383,39887
[DIVPOL].[OBJECTID].&[3.84E2],384,2386
[DIVPOL].[OBJECTID].&[3.85E2],385,723
[DIVPOL].[OBJECTID].&[3.86E2],386,798
[DIVPOL].[OBJECTID].&[3.87E2],387,1066
[DIVPOL].[OBJECTID].&[3.88E2],388,1163
[DIVPOL].[OBJECTID].&[3.89E2],389,3645
[DIVPOL].[OBJECTID].&[3.9E2],390,3503
[DIVPOL].[OBJECTID].&[3.91E2],391,3832
[DIVPOL].[OBJECTID].&[3.92E2],392,26789
[DIVPOL].[OBJECTID].&[3.93E2],393,146
[DIVPOL].[OBJECTID].&[3.94E2],394,980
[DIVPOL].[OBJECTID].&[3.95E2],395,587
[DIVPOL].[OBJECTID].&[3.96E2],396,1856
[DIVPOL].[OBJECTID].&[3.97E2],397,3713
[DIVPOL].[OBJECTID].&[3.98E2],398,551
[DIVPOL].[OBJECTID].&[3.99E2],399,3033
[DIVPOL].[OBJECTID].&[4.E2],400,11914
[DIVPOL].[OBJECTID].&[4.01E2],401,746
[DIVPOL].[OBJECTID].&[4.02E2],402,184712
[DIVPOL].[OBJECTID].&[4.03E2],403,2555
[DIVPOL].[OBJECTID].&[4.04E2],404,7760
[DIVPOL].[OBJECTID].&[4.05E2],405,5701
[DIVPOL].[OBJECTID].&[4.06E2],406,5228
[DIVPOL].[OBJECTID].&[4.07E2],407,2205
[DIVPOL].[OBJECTID].&[4.08E2],408,7246
[DIVPOL].[OBJECTID].&[4.09E2],409,10972
[DIVPOL].[OBJECTID].&[4.1E2],410,1098
[DIVPOL].[OBJECTID].&[4.11E2],411,2497
[DIVPOL].[OBJECTID].&[4.12E2],412,516
[DIVPOL].[OBJECTID].&[4.13E2],413,8151
[DIVPOL].[OBJECTID].&[4.14E2],414,4746
[DIVPOL].[OBJECTID].&[4.15E2],415,16
[DIVPOL].[OBJECTID].&[4.16E2],416,24
[DIVPOL].[OBJECTID].&[4.17E2],417,46
[DIVPOL].[OBJECTID].&[4.18E2],418,42652
[DIVPOL].[OBJECTID].&[4.19E2],419,4449
[DIVPOL].[OBJECTID].&[4.2E2],420,76
[DIVPOL].[OBJECTID].&[4.21E2],421,1795
[DIVPOL].[OBJECTID].&[4.22E2],422,4408
[DIVPOL].[OBJECTID].&[4.23E2],423,2709
[DIVPOL].[OBJECTID].&[4.24E2],424,381
[DIVPOL].[OBJECTID].&[4.25E2],425,64
[DIVPOL].[OBJECTID].&[4.26E2],426,472
[DIVPOL].[OBJECTID].&[4.27E2],427,28
[DIVPOL].[OBJECTID].&[4.28E2],428,47
[DIVPOL].[OBJECTID].&[4.29E2],429,10538
[DIVPOL].[OBJECTID].&[4.3E2],430,140
[DIVPOL].[OBJECTID].&[4.31E2],431,2541
[DIVPOL].[OBJECTID].&[4.32E2],432,6611
[DIVPOL].[OBJECTID].&[4.33E2],433,396
[DIVPOL].[OBJECTID].&[4.34E2],434,635
[DIVPOL].[OBJECTID].&[4.35E2],435,143573
[DIVPOL].[OBJECTID].&[4.36E2],436,3803
[DIVPOL].[OBJECTID].&[4.37E2],437,16709
[DIVPOL].[OBJECTID].&[4.38E2],438,140
[DIVPOL].[OBJECTID].&[4.39E2],439,2189
[DIVPOL].[OBJECTID].&[4.4E2],440,33
[DIVPOL].[OBJECTID].&[4.41E2],441,415
[DIVPOL].[OBJECTID].&[4.42E2],442,363
[DIVPOL].[OBJECTID].&[4.43E2],443,1439
[DIVPOL].[OBJECTID].&[4.44E2],444,2058
[DIVPOL].[OBJECTID].&[4.45E2],445,1152
[DIVPOL].[OBJECTID].&[4.46E2],446,1747
[DIVPOL].[OBJECTID].&[4.47E2],447,145
[DIVPOL].[OBJECTID].&[4.48E2],448,34
[DIVPOL].[OBJECTID].&[4.49E2],449,297
[DIVPOL].[OBJECTID].&[4.5E2],450,4
[DIVPOL].[OBJECTID].&[4.51E2],451,339
[DIVPOL].[OBJECTID].&[4.52E2],452,16
[DIVPOL].[OBJECTID].&[4.53E2],453,22289
[DIVPOL].[OBJECTID].&[4.54E2],454,1006
[DIVPOL].[OBJECTID].&[4.55E2],455,313
[DIVPOL].[OBJECTID].&[4.56E2],456,827
[DIVPOL].[OBJECTID].&[4.57E2],457,2620
[DIVPOL].[OBJECTID].&[4.58E2],458,8430
[DIVPOL].[OBJECTID].&[4.59E2],459,283
[DIVPOL].[OBJECTID].&[4.6E2],460,1037
[DIVPOL].[OBJECTID].&[4.61E2],461,589
[DIVPOL].[OBJECTID].&[4.62E2],462,7615
[DIVPOL].[OBJECTID].&[4.63E2],463,6571
[DIVPOL].[OBJECTID].&[4.64E2],464,880
[DIVPOL].[OBJECTID].&[4.65E2],465,403
[DIVPOL].[OBJECTID].&[4.66E2],466,746
[DIVPOL].[OBJECTID].&[4.67E2],467,397
[DIVPOL].[OBJECTID].&[4.68E2],468,677633
[DIVPOL].[OBJECTID].&[4.69E2],469,12754
[DIVPOL].[OBJECTID].&[4.7E2],470,7704
[DIVPOL].[OBJECTID].&[4.71E2],471,13995
[DIVPOL].[OBJECTID].&[4.72E2],472,7288
[DIVPOL].[OBJECTID].&[4.73E2],473,9531
[DIVPOL].[OBJECTID].&[4.74E2],474,2647
[DIVPOL].[OBJECTID].&[4.75E2],475,2383
[DIVPOL].[OBJECTID].&[4.76E2],476,2533
