[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[060353],060353,820
[DIVPOL].[DPA_PARROQ].&[060354],060354,1424
[DIVPOL].[DPA_PARROQ].&[060450],060450,9743
[DIVPOL].[DPA_PARROQ].&[060550],060550,7849
[DIVPOL].[DPA_PARROQ].&[060551],060551,567
[DIVPOL].[DPA_PARROQ].&[060552],060552,251
[DIVPOL].[DPA_PARROQ].&[060553],060553,744
[DIVPOL].[DPA_PARROQ].&[060554],060554,954
[DIVPOL].[DPA_PARROQ].&[060650],060650,10698
[DIVPOL].[DPA_PARROQ].&[060651],060651,2864
[DIVPOL].[DPA_PARROQ].&[060652],060652,2920
[DIVPOL].[DPA_PARROQ].&[060750],060750,22850
[DIVPOL].[DPA_PARROQ].&[060751],060751,168
[DIVPOL].[DPA_PARROQ].&[060752],060752,512
[DIVPOL].[DPA_PARROQ].&[060753],060753,238
[DIVPOL].[DPA_PARROQ].&[060754],060754,11090
[DIVPOL].[DPA_PARROQ].&[060755],060755,1929
[DIVPOL].[DPA_PARROQ].&[060756],060756,2229
[DIVPOL].[DPA_PARROQ].&[060757],060757,345
[DIVPOL].[DPA_PARROQ].&[060758],060758,311
[DIVPOL].[DPA_PARROQ].&[060759],060759,93
[DIVPOL].[DPA_PARROQ].&[060850],060850,11062
[DIVPOL].[DPA_PARROQ].&[060950],060950,3105
[DIVPOL].[DPA_PARROQ].&[060951],060951,582
[DIVPOL].[DPA_PARROQ].&[060952],060952,732
[DIVPOL].[DPA_PARROQ].&[060953],060953,375
[DIVPOL].[DPA_PARROQ].&[060954],060954,1002
[DIVPOL].[DPA_PARROQ].&[060955],060955,125
[DIVPOL].[DPA_PARROQ].&[060956],060956,221
[DIVPOL].[DPA_PARROQ].&[061050],061050,14362
[DIVPOL].[DPA_PARROQ].&[070150],070150,504339
[DIVPOL].[DPA_PARROQ].&[070152],070152,7949
[DIVPOL].[DPA_PARROQ].&[070250],070250,29427
[DIVPOL].[DPA_PARROQ].&[070251],070251,4171
[DIVPOL].[DPA_PARROQ].&[070254],070254,1937
[DIVPOL].[DPA_PARROQ].&[070255],070255,1051
[DIVPOL].[DPA_PARROQ].&[070350],070350,2957
[DIVPOL].[DPA_PARROQ].&[070351],070351,778
[DIVPOL].[DPA_PARROQ].&[070352],070352,654
[DIVPOL].[DPA_PARROQ].&[070353],070353,133
[DIVPOL].[DPA_PARROQ].&[070354],070354,367
[DIVPOL].[DPA_PARROQ].&[070355],070355,107
[DIVPOL].[DPA_PARROQ].&[070450],070450,7393
[DIVPOL].[DPA_PARROQ].&[070451],070451,1562
[DIVPOL].[DPA_PARROQ].&[070550],070550,1515
[DIVPOL].[DPA_PARROQ].&[070650],070650,41798
[DIVPOL].[DPA_PARROQ].&[070651],070651,7672
[DIVPOL].[DPA_PARROQ].&[070652],070652,5614
[DIVPOL].[DPA_PARROQ].&[070653],070653,4307
[DIVPOL].[DPA_PARROQ].&[070654],070654,8801
[DIVPOL].[DPA_PARROQ].&[070750],070750,80960
[DIVPOL].[DPA_PARROQ].&[070850],070850,6424
[DIVPOL].[DPA_PARROQ].&[070851],070851,138
[DIVPOL].[DPA_PARROQ].&[070950],070950,98121
[DIVPOL].[DPA_PARROQ].&[070951],070951,9699
[DIVPOL].[DPA_PARROQ].&[070952],070952,3726
[DIVPOL].[DPA_PARROQ].&[070953],070953,5697
[DIVPOL].[DPA_PARROQ].&[070954],070954,3611
[DIVPOL].[DPA_PARROQ].&[070955],070955,448
[DIVPOL].[DPA_PARROQ].&[070956],070956,1888
[DIVPOL].[DPA_PARROQ].&[071050],071050,20661
[DIVPOL].[DPA_PARROQ].&[071051],071051,772
[DIVPOL].[DPA_PARROQ].&[071052],071052,331
[DIVPOL].[DPA_PARROQ].&[071053],071053,1067
[DIVPOL].[DPA_PARROQ].&[071054],071054,268
[DIVPOL].[DPA_PARROQ].&[071055],071055,306
[DIVPOL].[DPA_PARROQ].&[071056],071056,2759
[DIVPOL].[DPA_PARROQ].&[071150],071150,18245
[DIVPOL].[DPA_PARROQ].&[071151],071151,220
[DIVPOL].[DPA_PARROQ].&[071152],071152,221
[DIVPOL].[DPA_PARROQ].&[071153],071153,409
[DIVPOL].[DPA_PARROQ].&[071250],071250,100263
[DIVPOL].[DPA_PARROQ].&[071251],071251,4203
[DIVPOL].[DPA_PARROQ].&[071252],071252,1525
[DIVPOL].[DPA_PARROQ].&[071253],071253,3248
[DIVPOL].[DPA_PARROQ].&[071254],071254,1593
[DIVPOL].[DPA_PARROQ].&[071255],071255,1503
[DIVPOL].[DPA_PARROQ].&[071256],071256,2673
[DIVPOL].[DPA_PARROQ].&[071257],071257,1667
[DIVPOL].[DPA_PARROQ].&[071350],071350,13915
[DIVPOL].[DPA_PARROQ].&[071351],071351,184
[DIVPOL].[DPA_PARROQ].&[071352],071352,430
[DIVPOL].[DPA_PARROQ].&[071353],071353,292
[DIVPOL].[DPA_PARROQ].&[071354],071354,650
[DIVPOL].[DPA_PARROQ].&[071355],071355,1404
[DIVPOL].[DPA_PARROQ].&[071356],071356,1569
[DIVPOL].[DPA_PARROQ].&[071357],071357,545
[DIVPOL].[DPA_PARROQ].&[071358],071358,485
[DIVPOL].[DPA_PARROQ].&[071359],071359,272
[DIVPOL].[DPA_PARROQ].&[071450],071450,1728
[DIVPOL].[DPA_PARROQ].&[071451],071451,143
[DIVPOL].[DPA_PARROQ].&[071452],071452,252
[DIVPOL].[DPA_PARROQ].&[071453],071453,49
[DIVPOL].[DPA_PARROQ].&[080150],080150,289115
[DIVPOL].[DPA_PARROQ].&[080152],080152,2374
[DIVPOL].[DPA_PARROQ].&[080153],080153,176
[DIVPOL].[DPA_PARROQ].&[080154],080154,3842
[DIVPOL].[DPA_PARROQ].&[080159],080159,1165
[DIVPOL].[DPA_PARROQ].&[080163],080163,9767
[DIVPOL].[DPA_PARROQ].&[080165],080165,933
[DIVPOL].[DPA_PARROQ].&[080166],080166,9311
[DIVPOL].[DPA_PARROQ].&[080168],080168,3366
[DIVPOL].[DPA_PARROQ].&[080250],080250,3384
[DIVPOL].[DPA_PARROQ].&[080251],080251,261
[DIVPOL].[DPA_PARROQ].&[080252],080252,29
[DIVPOL].[DPA_PARROQ].&[080253],080253,9971
[DIVPOL].[DPA_PARROQ].&[080254],080254,2278
[DIVPOL].[DPA_PARROQ].&[080255],080255,23
[DIVPOL].[DPA_PARROQ].&[080256],080256,1512
[DIVPOL].[DPA_PARROQ].&[080257],080257,42
[DIVPOL].[DPA_PARROQ].&[080258],080258,28
[DIVPOL].[DPA_PARROQ].&[080259],080259,16
[DIVPOL].[DPA_PARROQ].&[080260],080260,294
[DIVPOL].[DPA_PARROQ].&[080261],080261,244
[DIVPOL].[DPA_PARROQ].&[080262],080262,850
[DIVPOL].[DPA_PARROQ].&[080263],080263,33
[DIVPOL].[DPA_PARROQ].&[080264],080264,744
[DIVPOL].[DPA_PARROQ].&[080265],080265,2087
[DIVPOL].[DPA_PARROQ].&[080350],080350,14072
[DIVPOL].[DPA_PARROQ].&[080351],080351,491
[DIVPOL].[DPA_PARROQ].&[080352],080352,641
[DIVPOL].[DPA_PARROQ].&[080353],080353,377
[DIVPOL].[DPA_PARROQ].&[080354],080354,49
[DIVPOL].[DPA_PARROQ].&[080355],080355,349
[DIVPOL].[DPA_PARROQ].&[080356],080356,1835
[DIVPOL].[DPA_PARROQ].&[080357],080357,1642
[DIVPOL].[DPA_PARROQ].&[080358],080358,2920
[DIVPOL].[DPA_PARROQ].&[080450],080450,56079
[DIVPOL].[DPA_PARROQ].&[080451],080451,2317
[DIVPOL].[DPA_PARROQ].&[080452],080452,1290
[DIVPOL].[DPA_PARROQ].&[080453],080453,2343
[DIVPOL].[DPA_PARROQ].&[080454],080454,4611
[DIVPOL].[DPA_PARROQ].&[080455],080455,21896
[DIVPOL].[DPA_PARROQ].&[080550],080550,31984
[DIVPOL].[DPA_PARROQ].&[080551],080551,540
[DIVPOL].[DPA_PARROQ].&[080552],080552,36
[DIVPOL].[DPA_PARROQ].&[080553],080553,826
[DIVPOL].[DPA_PARROQ].&[080554],080554,586
[DIVPOL].[DPA_PARROQ].&[080555],080555,23
[DIVPOL].[DPA_PARROQ].&[080556],080556,787
[DIVPOL].[DPA_PARROQ].&[080557],080557,289
[DIVPOL].[DPA_PARROQ].&[080558],080558,130
