[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[080559],080559,412
[DIVPOL].[DPA_PARROQ].&[080560],080560,127
[DIVPOL].[DPA_PARROQ].&[080561],080561,605
[DIVPOL].[DPA_PARROQ].&[080562],080562,784
[DIVPOL].[DPA_PARROQ].&[080650],080650,34922
[DIVPOL].[DPA_PARROQ].&[080651],080651,1044
[DIVPOL].[DPA_PARROQ].&[080652],080652,4251
[DIVPOL].[DPA_PARROQ].&[080653],080653,9687
[DIVPOL].[DPA_PARROQ].&[080654],080654,20849
[DIVPOL].[DPA_PARROQ].&[080750],080750,8518
[DIVPOL].[DPA_PARROQ].&[080751],080751,887
[DIVPOL].[DPA_PARROQ].&[080752],080752,175
[DIVPOL].[DPA_PARROQ].&[080753],080753,2636
[DIVPOL].[DPA_PARROQ].&[080754],080754,1818
[DIVPOL].[DPA_PARROQ].&[080755],080755,3128
[DIVPOL].[DPA_PARROQ].&[090150],090150,3952576
[DIVPOL].[DPA_PARROQ].&[090152],090152,17813
[DIVPOL].[DPA_PARROQ].&[090153],090153,5153
[DIVPOL].[DPA_PARROQ].&[090156],090156,22215
[DIVPOL].[DPA_PARROQ].&[090157],090157,3498
[DIVPOL].[DPA_PARROQ].&[090158],090158,8029
[DIVPOL].[DPA_PARROQ].&[090250],090250,27014
[DIVPOL].[DPA_PARROQ].&[090350],090350,18079
[DIVPOL].[DPA_PARROQ].&[090450],090450,58942
[DIVPOL].[DPA_PARROQ].&[090550],090550,9998
[DIVPOL].[DPA_PARROQ].&[090551],090551,796
[DIVPOL].[DPA_PARROQ].&[090650],090650,156729
[DIVPOL].[DPA_PARROQ].&[090652],090652,4573
[DIVPOL].[DPA_PARROQ].&[090653],090653,6811
[DIVPOL].[DPA_PARROQ].&[090654],090654,7647
[DIVPOL].[DPA_PARROQ].&[090656],090656,11412
[DIVPOL].[DPA_PARROQ].&[090750],090750,377282
[DIVPOL].[DPA_PARROQ].&[090850],090850,61243
[DIVPOL].[DPA_PARROQ].&[090851],090851,8119
[DIVPOL].[DPA_PARROQ].&[090852],090852,1488
[DIVPOL].[DPA_PARROQ].&[090950],090950,54995
[DIVPOL].[DPA_PARROQ].&[091050],091050,217135
[DIVPOL].[DPA_PARROQ].&[091051],091051,7682
[DIVPOL].[DPA_PARROQ].&[091053],091053,5862
[DIVPOL].[DPA_PARROQ].&[091054],091054,6354
[DIVPOL].[DPA_PARROQ].&[091150],091150,65999
[DIVPOL].[DPA_PARROQ].&[091151],091151,6528
[DIVPOL].[DPA_PARROQ].&[091152],091152,7579
[DIVPOL].[DPA_PARROQ].&[091153],091153,7482
[DIVPOL].[DPA_PARROQ].&[091154],091154,9004
[DIVPOL].[DPA_PARROQ].&[091250],091250,46750
[DIVPOL].[DPA_PARROQ].&[091350],091350,11737
[DIVPOL].[DPA_PARROQ].&[091450],091450,41455
[DIVPOL].[DPA_PARROQ].&[091451],091451,2189
[DIVPOL].[DPA_PARROQ].&[091452],091452,4932
[DIVPOL].[DPA_PARROQ].&[091650],091650,96994
[DIVPOL].[DPA_PARROQ].&[091651],091651,19785
[DIVPOL].[DPA_PARROQ].&[091850],091850,21309
[DIVPOL].[DPA_PARROQ].&[091950],091950,18749
[DIVPOL].[DPA_PARROQ].&[091951],091951,2684
[DIVPOL].[DPA_PARROQ].&[091952],091952,1284
[DIVPOL].[DPA_PARROQ].&[091953],091953,2838
[DIVPOL].[DPA_PARROQ].&[092050],092050,34067
[DIVPOL].[DPA_PARROQ].&[092053],092053,6339
[DIVPOL].[DPA_PARROQ].&[092055],092055,7128
[DIVPOL].[DPA_PARROQ].&[092056],092056,30306
[DIVPOL].[DPA_PARROQ].&[092150],092150,70833
[DIVPOL].[DPA_PARROQ].&[092250],092250,13089
[DIVPOL].[DPA_PARROQ].&[092251],092251,4804
[DIVPOL].[DPA_PARROQ].&[092350],092350,11269
[DIVPOL].[DPA_PARROQ].&[092450],092450,18275
[DIVPOL].[DPA_PARROQ].&[092550],092550,29779
[DIVPOL].[DPA_PARROQ].&[092750],092750,12667
