[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[241],241,1633
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[242],242,238
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[243],243,16352
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[244],244,319
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[245],245,172
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[246],246,91
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[247],247,9422
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[248],248,924
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[249],249,1051
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[250],250,2307
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[251],251,2982
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[252],252,2391
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[253],253,2118
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[254],254,1262
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[255],255,545
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[256],256,2406
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[257],257,2897
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[258],258,1451
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[259],259,11330
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[260],260,8114
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[261],261,1140
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[262],262,4427
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[263],263,2284
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[264],264,74
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[265],265,62
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[266],266,854
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[267],267,258
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[268],268,5740
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[269],269,250
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[270],270,725
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[271],271,2823
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[272],272,779
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[273],273,21
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[274],274,2416
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[275],275,116974
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[276],276,1228
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[277],277,1410
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[278],278,2004
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[279],279,1214
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[280],280,349
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[281],281,15
